[[ 1, 5, 19, 33, 21, 77 ],'<2, 1>',x^9 + x^7 + x^6 + x^4 + x^3*y^2 + x^3*y + x^3 + x^2 + y^4 + y + 1]
[[ 1, 5, 7, 33, 61, 77 ],'<2, 1>',x^9 + x^6 + x^3*y^2 + x^3*y + x^2*y^2 + x^2*y + x^2 + x*y^2 + x*y + y^4 + y^2]
[[ 1, 9, 13, 9, 41, 81 ],'<2, 1>',x^9 + x^8 + x^7 + x^5 + x^3*y^2 + x^3*y + x^2*y^2 + x^2*y + y^4 + y^2 + 1]
[[ 1, 9, 13, 41, 41, 81 ],'<2, 1>',x^9 + x^7 + x^6 + x^5 + x^4 + x^3*y^2 + x^3*y + x^3 + x^2 + x*y^2 + x*y + y^4 + y^2]
[[ 1, 5, 19, 33, 41, 77 ],'<2, 1>',x^9 + x^6 + x^4 + x^3*y^2 + x^3*y + x^2*y^2 + x^2*y + x^2 + x*y^2 + x*y + x + y^4 + y + 1]
[[ 1, 5, 7, 33, 41, 77 ],'<2, 1>',x^9 + x^8 + x^7 + x^5 + x^4 + x^3*y^2 + x^3*y + x^2*y^2 + x^2*y + x*y^2 + x*y + x + y^4 + y + 1]
[[ 1, 1, 25, 25, 21, 49 ],'<4, 1>',x^9 + x^6 + x^5 + x^4 + x^3*y^2 + x^3*y + x^3 + x^2*y^2 + x^2*y + x + y^4 + y + 1]
[[ 1, 1, 1, 25, 61, 49 ],'<4, 1>',x^9 + x^8 + x^6 + x^4 + x^3*y^2 + x^3*y + x^3 + x^2 + x*y^2 + x*y + y^4 + y + 1]
[[ 1, 1, 13, 25, 61, 97 ],'<4, 1>',x^9 + x^8 + x^7 + x^5 + x^3*y^2 + x^3*y + x^2*y^2 + x^2*y + x^2 + x + y^4 + y + 1]
[[ 1, 1, 13, 25, 21, 97 ],'<4, 1>',x^9 + x^8 + x^6 + x^3*y^2 + x^3*y + x^3 + x^2 + x*y^2 + x*y + x + y^4 + y + 1]
[[ 1, 3, 7, 23, 61, 51 ],'<2, 1>',x^17 + x^15 + x^14 + x^13 + x^10*y + x^8 + x^7*y^2 + x^7 + x^6*y^2 + x^6*y + x^5*y^2 + x^4 + x^2*y^2 + x^2 + y^4]
[[ 1, 3, 19, 23, 21, 51 ],'<2, 1>',x^17 + x^15 + x^14 + x^12 + x^11 + x^10*y + x^9 + x^8 + x^7*y^2 + x^6*y^2 + x^6*y + x^5*y^2 + x^2*y^2 + x^2 + y^4]
[[ 1, 7, 7, 23, 41, 55 ],'<2, 1>',x^17 + x^14 + x^12 + x^10*y + x^10 + x^9*y + x^9 + x^7*y^2 + x^7*y + x^7 + x^6*y + x^6 + x^5*y^2 + x^5*y + x^4 + x^3*y + x^3 + x^2 + y^4]
[[ 1, 7, 19, 23, 41, 55 ],'<2, 1>',x^17 + x^14 + x^13 + x^12 + x^11 + x^10*y + x^10 + x^9*y + x^7*y^2 + x^7*y + x^6*y + x^6 + x^5*y^2 + x^5*y + x^4 + x^3*y + x^3 + x^2 + y^4]
[[ 1, 7, 13, 39, 51, 91 ],'<2, 1>',x^9 + x^6 + x^4*y + x^3*y^2 + x^3 + x^2*y + x^2 + y^4 + y^2]
[[ 1, 7, 13, 39, 31, 91 ],'<2, 1>',x^9 + x^7 + x^6 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + x^2*y + x^2 + x*y^2 + y^4]
[[ 1, 3, 25, 39, 31, 87 ],'<2, 1>',x^17 + x^15 + x^14 + x^13 + x^11 + x^10*y + x^10 + x^9*y + x^9 + x^8*y + x^7*y^2 + x^7*y + x^6*y^2 + x^6*y + x^6 + x^5*y^2 + x^5 + x^4*y^2 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 3, 1, 39, 51, 87 ],'<2, 1>',x^17 + x^14 + x^12 + x^11 + x^10*y + x^9*y + x^7*y^2 + x^7*y + x^7 + x^5*y^2 + x^5*y + x^5 + x^4 + x^3*y^2 + x^3*y + x^2*y + x^2 + x*y^2 + y^4]
[[ 1, 7, 13, 23, 11, 67 ],'<2, 1>',x^17 + x^15 + x^14 + x^13 + x^11 + x^10*y + x^9 + x^7*y^2 + x^7 + x^6*y^2 + x^5*y^2 + x^5 + x^3*y^2 + x^3 + x^2*y^2 + x^2*y + x^2 + x*y^2 + y^4]
[[ 1, 7, 13, 23, 71, 67 ],'<2, 1>',x^17 + x^15 + x^14 + x^12 + x^10*y + x^9 + x^7*y^2 + x^7 + x^6*y^2 + x^5*y^2 + x^4 + x^3*y^2 + x^2*y^2 + x^2*y + x^2 + x*y^2 + y^4]
[[ 1, 3, 13, 23, 31, 63 ],'<2, 1>',x^17 + x^15 + x^14 + x^10*y + x^10 + x^9*y + x^8*y + x^7*y^2 + x^7*y + x^7 + x^6*y^2 + x^6*y + x^6 + x^5*y^2 + x^5 + x^4*y^2 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 3, 13, 23, 51, 63 ],'<2, 1>',x^9 + x^6 + x^5 + x^4*y + x^4 + x^3*y^2 + x^3*y + x^2*y + x^2 + x*y^2 + y^4]
[[ 1, 5, 4, 41, 51, 86 ],'<2, 1>',x^15 + x^13 + x^12 + x^11 + x^10 + x^9*y + x^9 + x^8*y + x^8 + x^7 + x^6*y + x^5*y + x^5 + x^4*y^2 + x^3*y + x^3 + x^2*y^2 + x^2*y + x^2 + x*y^2 + x*y + y^4 + y^2]
[[ 1, 5, 22, 41, 31, 86 ],'<2, 1>',x^23 + x^22 + x^21 + x^19 + x^18 + x^16 + x^15*y + x^13 + x^12*y + x^12 + x^11 + x^10 + x^9*y^2 + x^9 + x^8*y + x^7*y^2 + x^7*y + x^6*y + x^5*y^2 + x^5*y + x^5 + x^4*y^2 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 5, 16, 25, 11, 62 ],'<2, 1>',x^15 + x^13 + x^12 + x^11 + x^10 + x^9*y + x^9 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y^2 + x^3*y + x^3 + x^2*y^2 + x^2*y + x*y^2 + y^4 + y + 1]
[[ 1, 5, 10, 25, 71, 62 ],'<2, 1>',x^15 + x^14 + x^12 + x^9*y + x^8*y + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y^2 + x^3*y + x^2*y^2 + x^2*y + x^2 + x*y^2 + x*y + y^4 + y^2]
[[ 1, 9, 10, 17, 41, 78 ],'<2, 1>',x^15 + x^14 + x^12 + x^11 + x^10 + x^9*y + x^8*y + x^8 + x^7*y + x^6*y + x^3*y^2 + x^3*y + x^3 + x^2*y^2 + x^2*y + x^2 + y^4 + y^2 + 1]
[[ 1, 9, 16, 17, 41, 78 ],'<2, 1>',x^23 + x^22 + x^21 + x^19 + x^15*y + x^15 + x^14*y + x^14 + x^12*y + x^11*y + x^11 + x^9*y^2 + x^9*y + x^8*y^2 + x^7*y^2 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 5, 16, 25, 31, 62 ],'<2, 1>',x^23 + x^20 + x^16 + x^15*y + x^13 + x^10*y + x^10 + x^9*y^2 + x^8*y + x^7*y + x^7 + x^6*y^2 + x^5*y^2 + x^5*y + x^5 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 5, 10, 25, 51, 62 ],'<2, 1>',x^15 + x^13 + x^12 + x^11 + x^9*y + x^8 + x^7 + x^6 + x^5*y + x^4*y^2 + x^3*y^2 + x^3*y + x^2*y^2 + y^4 + y^2]
[[ 1, 9, 22, 33, 41, 54 ],'<2, 1>',x^23 + x^20 + x^19 + x^17 + x^16 + x^15*y + x^15 + x^14*y + x^12*y + x^12 + x^11*y + x^9*y^2 + x^9*y + x^9 + x^8*y^2 + x^7*y^2 + x^7 + x^5 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
