[[1, 7], [2, 4], [3, 5], [6, 7]]
[[5,9,17,13,35,81],[0, 4, 53]]
[[4,12,13,32,29,69],[0, 7, 53]]
[[4,8,4,16,44,80],[0, 8, 53]]
[[4,12,16,24,24,72],[0, 35, 53]]
[[3,7,6,23,38,94],[0, 37, 53]]
[[2,10,8,22,22,58],[0, 49, 53]]
[[7,13,7,25,22,73],[4, 5, 53]]
[[3,13,3,25,38,85],[4, 50, 54]]
[[5,9,5,13,35,57],[4, 53, 54]]
[[6,12,9,32,11,81],[5, 7, 53]]
[[6,12,6,28,31,78],[5, 8, 53]]
[[4,12,16,28,14,84],[5, 35, 53]]
[[6,10,12,22,41,64],[5, 39, 53]]
[[4,8,10,24,54,104],[5, 43, 53]]
[[4,14,10,26,29,80],[5, 49, 53]]
[[5,9,8,29,40,96],[5, 50, 53]]
[[5,11,8,23,60,50],[5, 51, 53]]
[[5,13,14,21,25,64],[0, 4, 7, 53]]
[[5,11,14,23,25,68],[0, 4, 8, 53]]
[[2,8,2,20,17,56],[0, 4, 42, 53]]
[[3,7,6,23,33,52],[0, 4, 43, 53]]
[[4,12,10,12,19,114],[0, 4, 51, 53]]
[[5,13,8,25,30,70],[0, 5, 9, 53]]
[[5,11,20,11,20,104],[0, 5, 44, 53]]
[[2,16,14,20,22,76],[0, 5, 50, 54]]
[[6,12,12,24,16,90],[0, 7, 8, 53]]
[[2,16,5,24,42,43],[0, 35, 7, 53]]
[[4,10,7,22,19,103],[0, 7, 39, 53]]
[[4,12,10,32,24,72],[0, 7, 43, 53]]
[[4,10,4,30,39,94],[0, 7, 49, 53]]
[[5,13,14,17,25,94],[0, 7, 50, 53]]
[[5,11,11,23,45,47],[0, 7, 51, 53]]
[[5,9,17,13,30,99],[0, 7, 52, 53]]
[[3,7,9,23,33,127],[0, 34, 8, 53]]
[[2,10,8,22,22,58],[0, 35, 8, 53]]
[[4,8,16,20,24,116],[0, 8, 39, 53]]
[[3,7,9,23,33,73],[0, 42, 8, 53]]
[[4,12,16,24,24,72],[0, 49, 8, 53]]
[[5,11,11,19,40,71],[0, 8, 51, 53]]
