[[2, 7], [3, 5], [4, 7], [6, 7]]
[[5,11,8,23,20,92],[1, 52, 44]]
[[5,11,8,23,20,92],[10, 5, 53]]
[[6,8,9,20,31,95],[0, 1, 17, 54]]
[[5,11,8,31,50,56],[0, 1, 52, 44]]
[[5,11,14,31,20,80],[0, 10, 5, 53]]
[[4,10,13,38,24,49],[0, 5, 17, 54]]
[[6,8,6,12,36,80],[0, 10, 7, 53]]
[[6,10,9,14,51,67],[0, 8, 17, 54]]
[[6,10,9,14,51,67],[0, 17, 18, 54]]
[[4,12,7,24,24,81],[0, 17, 44, 53]]
[[4,10,13,38,24,49],[0, 17, 44, 54]]
[[5,11,8,15,20,128],[0, 17, 51, 53]]
[[6,8,9,20,31,95],[0, 17, 53, 54]]
[[4,12,7,24,24,81],[1, 5, 17, 54]]
[[7,9,10,33,17,78],[1, 5, 52, 44]]
[[5,11,8,15,20,128],[1, 7, 17, 54]]
[[4,10,10,14,24,82],[1, 52, 9, 44]]
[[4,12,7,28,24,57],[1, 52, 44, 51]]
[[5,11,14,31,20,80],[1, 52, 44, 54]]
[[6,8,6,12,36,80],[1, 52, 51, 54]]
[[4,12,7,28,24,57],[10, 5, 7, 53]]
[[4,10,10,14,24,82],[10, 5, 9, 53]]
[[7,9,10,33,17,78],[10, 5, 44, 53]]
[[5,11,8,31,50,56],[10, 5, 53, 54]]
[[5,13,5,25,35,85],[0, 1, 10, 5, 53]]
[[6,10,6,26,51,46],[0, 1, 5, 17, 54]]
[[3,9,12,33,23,78],[0, 1, 5, 52, 44]]
[[7,7,10,31,32,76],[0, 1, 5, 52, 53]]
[[6,14,6,30,26,62],[0, 1, 7, 52, 44]]
[[3,13,3,21,23,73],[0, 1, 10, 8, 53]]
[[5,9,17,25,25,81],[0, 1, 8, 52, 44]]
[[5,11,8,35,30,62],[0, 1, 8, 52, 53]]
[[3,13,3,33,43,61],[0, 1, 17, 9, 54]]
[[6,10,12,14,36,94],[0, 1, 52, 9, 44]]
[[3,11,12,27,28,86],[0, 1, 10, 18, 53]]
[[5,11,14,15,20,116],[0, 1, 10, 44, 53]]
[[4,10,19,22,29,79],[0, 1, 17, 18, 53]]
[[6,10,6,26,41,64],[0, 1, 17, 44, 53]]
[[5,11,8,31,30,74],[0, 1, 17, 51, 53]]
[[5,9,5,13,35,57],[0, 1, 52, 18, 53]]
[[8,10,11,18,33,73],[0, 1, 52, 44, 51]]
[[7,9,13,25,17,93],[0, 1, 52, 44, 53]]
[[7,7,10,15,42,88],[0, 1, 52, 44, 54]]
[[6,8,9,12,31,89],[0, 1, 52, 51, 53]]
[[4,8,7,12,19,71],[0, 5, 8, 17, 54]]
[[6,10,12,22,26,94],[0, 10, 5, 9, 53]]
[[5,7,14,11,25,70],[0, 5, 17, 9, 54]]
[[7,9,13,17,37,81],[0, 10, 5, 18, 53]]
[[5,9,14,9,35,102],[0, 10, 5, 44, 53]]
[[7,7,10,15,42,88],[0, 10, 5, 53, 54]]
[[6,8,6,20,26,80],[0, 5, 17, 18, 54]]
[[4,10,10,14,49,58],[0, 5, 17, 44, 53]]
[[7,9,13,21,32,75],[0, 5, 17, 51, 53]]
[[6,10,6,26,26,88],[0, 10, 7, 18, 53]]
