[[2, 7], [3, 5], [4, 7], [6, 7]]
[[5,9,8,21,40,72],[10, 5, 16, 42, 49, 17, 43, 50, 18, 44, 51, 53, 54]]
[[2,14,14,30,22,68],[10, 5, 16, 42, 17, 43, 50, 52, 18, 44, 51, 53, 54]]
[[5,11,8,27,15,98],[10, 5, 40, 16, 42, 49, 17, 43, 50, 52, 44, 51, 53]]
[[5,11,17,23,20,77],[10, 5, 40, 16, 42, 49, 17, 43, 50, 52, 44, 51, 54]]
[[4,12,10,12,29,90],[10, 5, 40, 16, 42, 49, 17, 43, 50, 52, 44, 53, 54]]
[[1,13,10,33,41,64],[10, 5, 40, 16, 42, 49, 17, 43, 50, 52, 51, 53, 54]]
[[6,6,15,6,51,75],[10, 5, 40, 16, 42, 49, 43, 50, 18, 44, 51, 53, 54]]
[[8,10,14,22,13,58],[10, 5, 40, 42, 49, 17, 43, 50, 18, 44, 51, 53, 54]]
[[5,13,11,21,30,91],[10, 5, 40, 42, 17, 43, 50, 52, 18, 44, 51, 53, 54]]
[[2,12,11,24,27,69],[10, 5, 42, 49, 17, 43, 50, 52, 18, 44, 51, 53, 54]]
[[5,11,8,31,50,56],[10, 5, 40, 42, 49, 43, 50, 52, 18, 44, 51, 53, 54]]
[[5,9,14,17,30,96],[0, 1, 10, 5, 14, 40, 7, 16, 8, 17, 9, 18, 44, 53]]
[[2,14,5,30,47,59],[0, 1, 10, 5, 14, 40, 7, 16, 8, 17, 9, 18, 51, 54]]
[[5,11,14,19,35,92],[0, 1, 10, 5, 14, 40, 7, 16, 8, 17, 9, 18, 53, 54]]
[[5,15,5,27,35,63],[0, 1, 10, 5, 14, 7, 16, 42, 8, 17, 9, 18, 51, 53]]
[[3,9,6,33,18,48],[0, 1, 10, 5, 14, 7, 16, 42, 8, 17, 9, 18, 51, 54]]
[[6,14,9,26,16,77],[0, 1, 10, 5, 14, 7, 16, 42, 8, 17, 9, 18, 53, 54]]
[[5,11,8,31,30,86],[0, 1, 10, 5, 14, 7, 16, 8, 17, 43, 9, 18, 44, 53]]
[[4,16,7,28,34,49],[0, 1, 10, 5, 14, 7, 16, 8, 17, 43, 9, 18, 51, 53]]
[[5,9,14,13,25,102],[0, 1, 10, 5, 14, 7, 16, 8, 17, 43, 9, 18, 53, 54]]
[[2,10,5,34,42,55],[0, 1, 10, 5, 14, 7, 16, 49, 8, 17, 9, 18, 44, 54]]
