[[0, 1, 4, 7], [2, 4], [3, 5], [6, 7]]
[[4,10,10,26,29,88],[35, 16, 38, 18, 53]]
[[4,6,16,26,24,84],[35, 16, 18, 39, 53]]
[[3,11,9,27,18,77],[35, 40, 16, 18, 53]]
[[3,9,6,33,28,78],[35, 16, 43, 18, 53]]
[[2,10,11,34,42,73],[35, 16, 52, 18, 44]]
[[4,12,13,36,19,57],[35, 16, 49, 18, 53]]
[[3,9,18,29,23,84],[35, 16, 50, 18, 54]]
[[4,8,19,16,19,107],[35, 16, 18, 51, 53]]
[[4,10,13,22,24,115],[35, 16, 52, 18, 53]]
[[3,3,3,11,28,87],[35, 16, 52, 18, 54]]
[[4,6,10,18,49,108],[35, 16, 18, 53, 54]]
[[3,5,6,37,33,62],[16, 37, 38, 18, 53]]
[[3,7,6,15,48,58],[16, 37, 18, 39, 53]]
[[4,14,10,22,29,86],[40, 16, 37, 18, 53]]
[[3,9,15,21,58,57],[16, 37, 49, 18, 53]]
[[3,9,15,33,18,87],[16, 37, 50, 18, 53]]
[[3,9,12,45,33,54],[16, 37, 18, 51, 53]]
[[3,3,9,11,33,99],[16, 37, 52, 18, 53]]
[[3,11,12,27,28,98],[16, 37, 18, 53, 54]]
[[3,9,15,29,38,69],[16, 38, 18, 39, 53]]
[[4,8,16,24,24,104],[40, 16, 38, 18, 53]]
[[4,10,19,26,24,79],[16, 38, 43, 18, 53]]
[[3,13,12,33,33,58],[16, 38, 52, 18, 44]]
[[3,3,6,11,33,120],[16, 49, 38, 18, 53]]
[[3,9,9,21,38,69],[16, 38, 50, 18, 53]]
[[2,4,11,8,37,97],[16, 38, 50, 18, 54]]
[[3,5,6,33,28,50],[16, 38, 18, 51, 53]]
[[3,13,12,37,38,34],[16, 38, 52, 18, 53]]
[[3,5,6,13,53,68],[16, 38, 18, 53, 54]]
[[4,8,4,32,29,92],[40, 16, 18, 39, 53]]
[[4,6,13,30,39,87],[16, 42, 18, 39, 53]]
[[4,4,10,16,39,88],[16, 43, 18, 39, 53]]
[[3,5,15,21,33,83],[16, 52, 18, 39, 44]]
[[4,8,25,20,24,77],[16, 18, 39, 44, 53]]
[[3,11,15,23,18,95],[16, 49, 18, 39, 53]]
[[3,7,12,19,38,112],[16, 50, 18, 39, 53]]
[[2,10,11,14,42,79],[16, 50, 18, 39, 54]]
[[3,9,15,17,48,81],[16, 18, 39, 51, 53]]
[[3,9,9,33,38,87],[16, 52, 18, 39, 53]]
[[3,13,15,25,28,73],[16, 18, 39, 53, 54]]
[[3,9,18,29,43,60],[40, 16, 42, 18, 53]]
[[3,5,18,13,43,116],[40, 16, 43, 18, 53]]
[[2,6,8,18,17,114],[40, 16, 52, 18, 44]]
[[3,5,15,29,38,113],[40, 16, 18, 44, 53]]
[[4,10,13,42,19,49],[40, 16, 49, 18, 53]]
[[4,10,10,34,29,88],[40, 16, 52, 18, 53]]
[[3,9,9,25,53,81],[40, 16, 52, 18, 54]]
[[3,7,15,19,18,97],[16, 42, 43, 18, 53]]
[[3,9,12,25,13,96],[16, 42, 18, 44, 53]]
[[4,8,10,32,14,68],[16, 42, 49, 18, 53]]
[[4,6,10,18,49,114],[16, 42, 50, 18, 53]]
[[3,9,18,29,23,84],[16, 42, 50, 18, 54]]
[[4,6,19,14,49,93],[16, 42, 18, 51, 53]]
[[4,10,16,30,29,88],[16, 42, 52, 18, 53]]
[[3,9,12,33,18,78],[16, 42, 52, 18, 54]]
[[2,12,11,28,37,75],[16, 43, 52, 18, 44]]
[[4,6,16,26,29,78],[16, 49, 43, 18, 53]]
[[4,10,16,26,24,76],[16, 43, 50, 18, 53]]
[[3,9,9,25,33,87],[16, 43, 50, 18, 54]]
[[4,8,25,16,29,83],[16, 43, 18, 51, 53]]
[[4,12,13,24,14,111],[16, 43, 52, 18, 53]]
[[4,4,19,16,54,97],[16, 43, 18, 53, 54]]
[[3,3,18,11,43,114],[16, 49, 52, 18, 44]]
[[4,10,22,22,24,76],[16, 49, 18, 44, 53]]
[[4,14,13,22,24,71],[16, 50, 18, 44, 53]]
[[3,7,21,39,33,79],[16, 50, 18, 44, 54]]
[[3,7,15,23,23,103],[16, 52, 18, 44, 51]]
[[4,12,10,36,24,48],[16, 18, 44, 51, 53]]
[[4,12,13,24,39,81],[16, 52, 18, 44, 53]]
[[4,8,13,28,29,107],[16, 18, 44, 53, 54]]
[[3,3,9,11,28,69],[16, 49, 50, 18, 53]]
[[2,6,8,34,47,78],[16, 49, 50, 18, 54]]
[[3,5,18,17,38,116],[16, 49, 18, 51, 53]]
[[2,6,23,34,22,99],[16, 49, 52, 18, 54]]
[[3,11,9,15,73,95],[16, 49, 18, 53, 54]]
[[3,7,12,19,48,82],[16, 50, 18, 51, 53]]
[[2,8,8,32,42,62],[16, 50, 18, 51, 54]]
[[3,7,12,23,43,112],[16, 50, 52, 18, 53]]
[[2,6,23,30,17,99],[16, 50, 52, 18, 54]]
[[3,7,15,19,38,109],[16, 50, 18, 53, 54]]
[[3,9,21,29,8,99],[16, 52, 18, 51, 53]]
[[2,6,17,26,47,81],[16, 52, 18, 51, 54]]
[[3,9,18,21,43,72],[16, 18, 51, 53, 54]]
[[1,11,4,27,41,80],[16, 52, 18, 53, 54]]
[[4,10,7,26,44,73],[34, 35, 16, 38, 53]]
[[4,10,19,22,29,67],[34, 35, 16, 39, 53]]
[[3,5,18,13,28,74],[34, 35, 40, 16, 53]]
[[3,5,9,13,38,83],[34, 35, 16, 42, 53]]
[[3,7,9,23,33,79],[34, 35, 16, 43, 53]]
[[2,4,5,16,42,67],[34, 35, 16, 52, 44]]
[[3,5,9,29,38,71],[34, 35, 16, 44, 53]]
[[4,8,10,20,44,104],[34, 35, 16, 49, 53]]
[[4,6,7,26,54,81],[34, 35, 16, 50, 53]]
[[3,11,15,31,18,89],[34, 35, 16, 50, 54]]
[[4,14,7,22,39,77],[34, 35, 16, 51, 53]]
[[4,10,13,42,19,49],[34, 35, 16, 52, 53]]
[[4,10,10,34,29,88],[34, 35, 16, 53, 54]]
[[3,5,15,17,38,119],[34, 16, 37, 38, 53]]
[[3,11,9,23,38,89],[34, 16, 37, 39, 53]]
[[4,8,10,20,39,110],[34, 40, 16, 37, 53]]
