[[0, 1, 4, 5, 7], [2, 4], [3, 5], [6, 7]]
[[7,11,10,27,22,74],[35, 40, 16, 18, 53]]
[[7,11,16,11,32,68],[35, 16, 43, 18, 53]]
[[8,8,17,16,28,65],[35, 16, 49, 18, 53]]
[[7,13,10,17,32,64],[35, 16, 52, 18, 54]]
[[5,9,8,21,55,66],[16, 37, 38, 18, 53]]
[[7,9,10,33,37,36],[16, 37, 43, 18, 53]]
[[6,8,15,16,46,77],[16, 37, 52, 18, 53]]
[[5,11,11,27,35,77],[16, 37, 52, 18, 54]]
[[7,11,16,11,32,68],[40, 16, 38, 18, 53]]
[[6,12,12,20,26,78],[16, 38, 52, 18, 44]]
[[6,12,9,24,36,63],[16, 49, 38, 18, 53]]
[[4,10,10,30,29,70],[16, 38, 50, 18, 54]]
[[8,12,8,20,28,66],[16, 38, 52, 18, 53]]
[[8,8,14,28,23,44],[16, 18, 39, 44, 53]]
[[5,13,17,17,15,91],[40, 16, 42, 18, 53]]
[[6,10,12,22,41,58],[40, 16, 52, 18, 53]]
[[7,9,16,13,37,78],[40, 16, 52, 18, 54]]
[[7,13,10,25,17,52],[16, 42, 50, 18, 53]]
[[7,11,13,23,27,47],[16, 42, 52, 18, 51]]
[[6,10,15,14,36,91],[16, 42, 52, 18, 53]]
[[5,7,11,19,40,85],[16, 42, 52, 18, 54]]
[[4,16,10,28,19,64],[16, 43, 52, 18, 44]]
[[6,12,9,32,16,75],[16, 49, 43, 18, 53]]
[[5,11,14,27,20,86],[16, 43, 52, 18, 51]]
[[5,9,11,25,30,69],[16, 49, 52, 18, 44]]
[[8,8,17,16,23,77],[16, 18, 44, 53, 54]]
[[5,11,14,31,10,74],[16, 49, 52, 18, 53]]
[[4,8,16,20,39,110],[16, 49, 52, 18, 54]]
[[6,10,15,18,31,85],[16, 50, 52, 18, 53]]
[[5,9,14,37,25,66],[16, 18, 51, 53, 54]]
[[6,10,9,14,46,67],[34, 35, 16, 44, 53]]
[[7,9,13,25,17,87],[34, 35, 16, 53, 54]]
[[7,7,13,19,32,85],[34, 16, 37, 51, 53]]
[[5,9,11,21,35,87],[34, 16, 37, 53, 54]]
[[6,8,9,12,31,107],[34, 16, 38, 44, 53]]
[[5,9,11,17,50,75],[34, 16, 38, 51, 53]]
[[7,9,13,29,32,39],[34, 40, 16, 39, 53]]
[[4,8,10,16,54,56],[34, 16, 50, 39, 54]]
[[5,7,14,11,50,82],[34, 16, 52, 39, 51]]
[[6,8,12,28,31,68],[34, 16, 42, 44, 53]]
[[7,9,16,25,7,84],[34, 16, 42, 53, 54]]
[[6,12,6,24,26,102],[34, 16, 43, 44, 53]]
