[[2, 7], [3, 5], [4, 7], [6, 7]]
[1, 10, 40, 42, 49, 17, 52, 51, 53]
[1, 10, 40, 42, 49, 17, 52, 51, 54]
[1, 10, 40, 42, 49, 17, 51, 53, 54]
[1, 10, 40, 42, 49, 17, 52, 53, 54]
[1, 10, 40, 42, 17, 50, 52, 51, 53]
[1, 10, 40, 42, 17, 50, 52, 51, 54]
[1, 10, 40, 42, 17, 50, 51, 53, 54]
[1, 10, 40, 42, 17, 50, 52, 53, 54]
[1, 10, 40, 42, 17, 52, 51, 53, 54]
[1, 10, 40, 49, 17, 43, 50, 44, 51]
[1, 10, 40, 49, 17, 43, 50, 52, 44]
[1, 10, 40, 49, 17, 43, 50, 44, 53]
[1, 10, 40, 49, 17, 43, 50, 44, 54]
[1, 10, 40, 49, 17, 43, 52, 44, 51]
[1, 10, 40, 49, 17, 43, 44, 51, 53]
[1, 10, 40, 49, 17, 43, 44, 51, 54]
[1, 10, 40, 49, 17, 43, 52, 44, 53]
[1, 10, 40, 49, 17, 43, 52, 44, 54]
[1, 10, 40, 49, 17, 43, 44, 53, 54]
[1, 10, 40, 17, 43, 50, 52, 44, 51]
[1, 10, 40, 17, 43, 50, 44, 51, 53]
[1, 10, 40, 17, 43, 50, 44, 51, 54]
[1, 10, 40, 17, 43, 50, 52, 44, 53]
[1, 10, 40, 17, 43, 50, 52, 44, 54]
[1, 10, 40, 17, 43, 50, 44, 53, 54]
[1, 10, 40, 17, 43, 52, 44, 51, 53]
[1, 10, 40, 17, 43, 52, 44, 51, 54]
[1, 10, 40, 17, 43, 44, 51, 53, 54]
[1, 10, 40, 17, 43, 52, 44, 53, 54]
[1, 10, 40, 49, 17, 43, 50, 52, 51]
[1, 10, 40, 49, 17, 43, 50, 51, 53]
[1, 10, 40, 49, 17, 43, 50, 51, 54]
[1, 10, 40, 49, 17, 43, 50, 52, 53]
[1, 10, 40, 49, 17, 43, 50, 52, 54]
[1, 10, 40, 49, 17, 43, 50, 53, 54]
[1, 10, 40, 49, 17, 43, 52, 51, 53]
[1, 10, 40, 49, 17, 43, 52, 51, 54]
[1, 10, 40, 49, 17, 43, 51, 53, 54]
[1, 10, 40, 49, 17, 43, 52, 53, 54]
[1, 10, 40, 17, 43, 50, 52, 51, 53]
[1, 10, 40, 17, 43, 50, 52, 51, 54]
[1, 10, 40, 17, 43, 50, 51, 53, 54]
[1, 10, 40, 17, 43, 50, 52, 53, 54]
[1, 10, 40, 17, 43, 52, 51, 53, 54]
[1, 10, 40, 49, 17, 50, 52, 44, 51]
[1, 10, 40, 49, 17, 50, 44, 51, 53]
[1, 10, 40, 49, 17, 50, 44, 51, 54]
[1, 10, 40, 49, 17, 50, 52, 44, 53]
[1, 10, 40, 49, 17, 50, 52, 44, 54]
[1, 10, 40, 49, 17, 50, 44, 53, 54]
[1, 10, 40, 49, 17, 52, 44, 51, 53]
[1, 10, 40, 49, 17, 52, 44, 51, 54]
[1, 10, 40, 49, 17, 44, 51, 53, 54]
[1, 10, 40, 49, 17, 52, 44, 53, 54]
[1, 10, 40, 17, 50, 52, 44, 51, 53]
[1, 10, 40, 17, 50, 52, 44, 51, 54]
[1, 10, 40, 17, 50, 44, 51, 53, 54]
[1, 10, 40, 17, 50, 52, 44, 53, 54]
[1, 10, 40, 17, 52, 44, 51, 53, 54]
[1, 10, 40, 49, 17, 50, 52, 51, 53]
[1, 10, 40, 49, 17, 50, 52, 51, 54]
[1, 10, 40, 49, 17, 50, 51, 53, 54]
[1, 10, 40, 49, 17, 50, 52, 53, 54]
[1, 10, 40, 49, 17, 52, 51, 53, 54]
[1, 10, 40, 17, 50, 52, 51, 53, 54]
[1, 10, 42, 49, 17, 43, 50, 44, 51]
[1, 10, 42, 49, 17, 43, 50, 52, 44]
[1, 10, 42, 49, 17, 43, 50, 44, 53]
[1, 10, 42, 49, 17, 43, 50, 44, 54]
[1, 10, 42, 49, 17, 43, 52, 44, 51]
[1, 10, 42, 49, 17, 43, 44, 51, 53]
[1, 10, 42, 49, 17, 43, 44, 51, 54]
[1, 10, 42, 49, 17, 43, 52, 44, 53]
[1, 10, 42, 49, 17, 43, 52, 44, 54]
[1, 10, 42, 49, 17, 43, 44, 53, 54]
[1, 10, 42, 17, 43, 50, 52, 44, 51]
[1, 10, 42, 17, 43, 50, 44, 51, 53]
[1, 10, 42, 17, 43, 50, 44, 51, 54]
[1, 10, 42, 17, 43, 50, 52, 44, 53]
[1, 10, 42, 17, 43, 50, 52, 44, 54]
[1, 10, 42, 17, 43, 50, 44, 53, 54]
[1, 10, 42, 17, 43, 52, 44, 51, 53]
