[[0, 4, 5, 7], [2, 4], [3, 5], [6, 7]]
[34, 14, 35, 16, 42, 49, 18, 39, 44, 51, 53]
[34, 14, 35, 16, 42, 49, 18, 39, 44, 51, 54]
[34, 14, 35, 16, 42, 49, 52, 18, 39, 44, 53]
[34, 14, 35, 16, 42, 49, 52, 18, 39, 44, 54]
[34, 14, 35, 16, 42, 49, 18, 39, 44, 53, 54]
[34, 14, 35, 16, 42, 50, 52, 18, 39, 44, 51]
[34, 14, 35, 16, 42, 50, 18, 39, 44, 51, 53]
[34, 14, 35, 16, 42, 50, 18, 39, 44, 51, 54]
[34, 14, 35, 16, 42, 50, 52, 18, 39, 44, 53]
[34, 14, 35, 16, 42, 50, 52, 18, 39, 44, 54]
[34, 14, 35, 16, 42, 50, 18, 39, 44, 53, 54]
[34, 14, 35, 16, 42, 52, 18, 39, 44, 51, 53]
[34, 14, 35, 16, 42, 52, 18, 39, 44, 51, 54]
[34, 14, 35, 16, 42, 18, 39, 44, 51, 53, 54]
[34, 14, 35, 16, 42, 52, 18, 39, 44, 53, 54]
[34, 14, 35, 16, 42, 49, 50, 52, 18, 39, 51]
[34, 14, 35, 16, 42, 49, 50, 18, 39, 51, 53]
[34, 14, 35, 16, 42, 49, 50, 18, 39, 51, 54]
[34, 14, 35, 16, 42, 49, 50, 52, 18, 39, 53]
[34, 14, 35, 16, 42, 49, 50, 52, 18, 39, 54]
[34, 14, 35, 16, 42, 49, 50, 18, 39, 53, 54]
[34, 14, 35, 16, 42, 49, 52, 18, 39, 51, 53]
[34, 14, 35, 16, 42, 49, 52, 18, 39, 51, 54]
[34, 14, 35, 16, 42, 49, 18, 39, 51, 53, 54]
[34, 14, 35, 16, 42, 49, 52, 18, 39, 53, 54]
[34, 14, 35, 16, 42, 50, 52, 18, 39, 51, 53]
[34, 14, 35, 16, 42, 50, 52, 18, 39, 51, 54]
[34, 14, 35, 16, 42, 50, 18, 39, 51, 53, 54]
[34, 14, 35, 16, 42, 50, 52, 18, 39, 53, 54]
[34, 14, 35, 16, 42, 52, 18, 39, 51, 53, 54]
[34, 14, 35, 16, 49, 43, 50, 18, 39, 44, 51]
[34, 14, 35, 16, 49, 43, 50, 52, 18, 39, 44]
[34, 14, 35, 16, 49, 43, 50, 18, 39, 44, 53]
[34, 14, 35, 16, 49, 43, 50, 18, 39, 44, 54]
[34, 14, 35, 16, 49, 43, 52, 18, 39, 44, 51]
[34, 14, 35, 16, 49, 43, 18, 39, 44, 51, 53]
[34, 14, 35, 16, 49, 43, 18, 39, 44, 51, 54]
[34, 14, 35, 16, 49, 43, 52, 18, 39, 44, 53]
[34, 14, 35, 16, 49, 43, 52, 18, 39, 44, 54]
[34, 14, 35, 16, 49, 43, 18, 39, 44, 53, 54]
[34, 14, 35, 16, 43, 50, 52, 18, 39, 44, 51]
[34, 14, 35, 16, 43, 50, 18, 39, 44, 51, 53]
[34, 14, 35, 16, 43, 50, 18, 39, 44, 51, 54]
[34, 14, 35, 16, 43, 50, 52, 18, 39, 44, 53]
