[[2, 5, 7], [3, 5], [4, 5, 7], [6, 7]]
[1, 10, 5, 16, 42, 8, 50, 18, 44, 51]
[1, 10, 5, 16, 42, 8, 50, 52, 18, 44]
[1, 10, 5, 16, 42, 8, 50, 18, 44, 53]
[1, 10, 5, 16, 42, 8, 50, 18, 44, 54]
[1, 10, 5, 16, 42, 8, 52, 18, 44, 51]
[1, 10, 5, 16, 42, 8, 18, 44, 51, 53]
[1, 10, 5, 16, 42, 8, 18, 44, 51, 54]
[1, 10, 5, 16, 42, 8, 52, 18, 44, 53]
[1, 10, 5, 16, 42, 8, 52, 18, 44, 54]
[1, 10, 5, 16, 42, 8, 18, 44, 53, 54]
[1, 10, 5, 16, 42, 49, 8, 50, 18, 51]
[1, 10, 5, 16, 42, 49, 8, 50, 52, 18]
[1, 10, 5, 16, 42, 49, 8, 50, 18, 53]
[1, 10, 5, 16, 42, 49, 8, 50, 18, 54]
[1, 10, 5, 16, 42, 49, 8, 52, 18, 51]
[1, 10, 5, 16, 42, 49, 8, 18, 51, 53]
[1, 10, 5, 16, 42, 49, 8, 18, 51, 54]
[1, 10, 5, 16, 42, 49, 8, 52, 18, 53]
[1, 10, 5, 16, 42, 49, 8, 52, 18, 54]
[1, 10, 5, 16, 42, 49, 8, 18, 53, 54]
[1, 10, 5, 16, 42, 8, 50, 52, 18, 51]
[1, 10, 5, 16, 42, 8, 50, 18, 51, 53]
[1, 10, 5, 16, 42, 8, 50, 18, 51, 54]
[1, 10, 5, 16, 42, 8, 50, 52, 18, 53]
[1, 10, 5, 16, 42, 8, 50, 52, 18, 54]
[1, 10, 5, 16, 42, 8, 50, 18, 53, 54]
[1, 10, 5, 16, 42, 8, 52, 18, 51, 53]
[1, 10, 5, 16, 42, 8, 52, 18, 51, 54]
[1, 10, 5, 16, 42, 8, 18, 51, 53, 54]
[1, 10, 5, 16, 42, 8, 52, 18, 53, 54]
[1, 10, 5, 16, 49, 8, 43, 50, 18, 44]
[1, 10, 5, 16, 49, 8, 43, 18, 44, 51]
[1, 10, 5, 16, 49, 8, 43, 52, 18, 44]
[1, 10, 5, 16, 49, 8, 43, 18, 44, 53]
[1, 10, 5, 16, 49, 8, 43, 18, 44, 54]
[1, 10, 5, 16, 8, 43, 50, 18, 44, 51]
[1, 10, 5, 16, 8, 43, 50, 52, 18, 44]
[1, 10, 5, 16, 8, 43, 50, 18, 44, 53]
[1, 10, 5, 16, 8, 43, 50, 18, 44, 54]
[1, 10, 5, 16, 8, 43, 52, 18, 44, 51]
[1, 10, 5, 16, 8, 43, 18, 44, 51, 53]
[1, 10, 5, 16, 8, 43, 18, 44, 51, 54]
[1, 10, 5, 16, 8, 43, 52, 18, 44, 53]
[1, 10, 5, 16, 8, 43, 52, 18, 44, 54]
[1, 10, 5, 16, 8, 43, 18, 44, 53, 54]
[1, 10, 5, 16, 49, 8, 43, 50, 18, 51]
[1, 10, 5, 16, 49, 8, 43, 50, 52, 18]
[1, 10, 5, 16, 49, 8, 43, 50, 18, 53]
[1, 10, 5, 16, 49, 8, 43, 50, 18, 54]
[1, 10, 5, 16, 49, 8, 43, 52, 18, 51]
[1, 10, 5, 16, 49, 8, 43, 18, 51, 53]
[1, 10, 5, 16, 49, 8, 43, 18, 51, 54]
[1, 10, 5, 16, 49, 8, 43, 52, 18, 53]
[1, 10, 5, 16, 49, 8, 43, 52, 18, 54]
[1, 10, 5, 16, 49, 8, 43, 18, 53, 54]
[1, 10, 5, 16, 8, 43, 50, 52, 18, 51]
[1, 10, 5, 16, 8, 43, 50, 18, 51, 53]
[1, 10, 5, 16, 8, 43, 50, 18, 51, 54]
[1, 10, 5, 16, 8, 43, 50, 52, 18, 53]
[1, 10, 5, 16, 8, 43, 50, 52, 18, 54]
[1, 10, 5, 16, 8, 43, 50, 18, 53, 54]
[1, 10, 5, 16, 8, 43, 52, 18, 51, 53]
[1, 10, 5, 16, 8, 43, 52, 18, 51, 54]
[1, 10, 5, 16, 8, 43, 18, 51, 53, 54]
[1, 10, 5, 16, 8, 43, 52, 18, 53, 54]
[1, 10, 5, 16, 49, 8, 50, 18, 44, 51]
[1, 10, 5, 16, 49, 8, 50, 52, 18, 44]
[1, 10, 5, 16, 49, 8, 50, 18, 44, 53]
[1, 10, 5, 16, 49, 8, 50, 18, 44, 54]
[1, 10, 5, 16, 49, 8, 52, 18, 44, 51]
[1, 10, 5, 16, 49, 8, 18, 44, 51, 53]
[1, 10, 5, 16, 49, 8, 18, 44, 51, 54]
[1, 10, 5, 16, 49, 8, 52, 18, 44, 53]
[1, 10, 5, 16, 49, 8, 52, 18, 44, 54]
[1, 10, 5, 16, 49, 8, 18, 44, 53, 54]
