[[2, 4], [3], [5], [6, 7]]
[13, 38, 9, 18, 51, 53, 54]
[13, 38, 52, 9, 18, 53, 54]
[13, 49, 50, 9, 18, 39, 51]
[13, 49, 50, 52, 9, 18, 39]
[13, 49, 50, 9, 18, 39, 53]
[13, 49, 50, 9, 18, 39, 54]
[13, 49, 52, 9, 18, 39, 51]
[13, 49, 9, 18, 39, 51, 53]
[13, 49, 9, 18, 39, 51, 54]
[13, 49, 52, 9, 18, 39, 53]
[13, 49, 52, 9, 18, 39, 54]
[13, 49, 9, 18, 39, 53, 54]
[13, 50, 52, 9, 18, 39, 51]
[13, 50, 9, 18, 39, 51, 53]
[13, 50, 9, 18, 39, 51, 54]
[13, 50, 52, 9, 18, 39, 53]
[13, 50, 52, 9, 18, 39, 54]
[13, 50, 9, 18, 39, 53, 54]
[13, 52, 9, 18, 39, 51, 53]
[13, 52, 9, 18, 39, 51, 54]
[13, 9, 18, 39, 51, 53, 54]
[13, 52, 9, 18, 39, 53, 54]
[13, 49, 50, 52, 9, 18, 51]
[13, 49, 50, 9, 18, 51, 53]
[13, 49, 50, 9, 18, 51, 54]
[13, 49, 50, 52, 9, 18, 53]
[13, 49, 50, 52, 9, 18, 54]
[13, 49, 50, 9, 18, 53, 54]
[13, 49, 52, 9, 18, 51, 53]
[13, 49, 52, 9, 18, 51, 54]
[13, 49, 9, 18, 51, 53, 54]
[13, 49, 52, 9, 18, 53, 54]
[13, 50, 52, 9, 18, 51, 53]
[13, 50, 52, 9, 18, 51, 54]
[13, 50, 9, 18, 51, 53, 54]
[13, 50, 52, 9, 18, 53, 54]
[13, 52, 9, 18, 51, 53, 54]
[13, 34, 37, 49, 38, 9, 39]
[13, 34, 37, 38, 50, 9, 39]
[13, 34, 37, 38, 9, 39, 51]
[13, 34, 37, 38, 52, 9, 39]
[13, 34, 37, 38, 9, 39, 53]
[13, 34, 37, 38, 9, 39, 54]
[13, 34, 37, 49, 38, 50, 9]
