[[2, 4], [3], [5], [6, 7]]
[1, 34, 16, 37, 8, 18]
[1, 34, 16, 8, 38, 18]
[1, 34, 16, 8, 18, 39]
[1, 34, 16, 49, 8, 18]
[1, 34, 16, 8, 50, 18]
[1, 34, 16, 8, 18, 51]
[1, 34, 16, 8, 52, 18]
[1, 34, 16, 8, 18, 53]
[1, 34, 16, 8, 18, 54]
[1, 16, 37, 8, 38, 18]
[1, 16, 37, 8, 18, 39]
[1, 16, 37, 49, 8, 18]
[1, 16, 37, 8, 50, 18]
[1, 16, 37, 8, 18, 51]
[1, 16, 37, 8, 52, 18]
[1, 16, 37, 8, 18, 53]
[1, 16, 37, 8, 18, 54]
[1, 16, 8, 38, 18, 39]
[1, 16, 49, 8, 38, 18]
[1, 16, 8, 38, 50, 18]
[1, 16, 8, 38, 18, 51]
[1, 16, 8, 38, 52, 18]
[1, 16, 8, 38, 18, 53]
[1, 16, 8, 38, 18, 54]
[1, 16, 49, 8, 18, 39]
[1, 16, 8, 50, 18, 39]
[1, 16, 8, 18, 39, 51]
[1, 16, 8, 52, 18, 39]
[1, 16, 8, 18, 39, 53]
[1, 16, 8, 18, 39, 54]
[1, 16, 49, 8, 50, 18]
[1, 16, 49, 8, 18, 51]
[1, 16, 49, 8, 52, 18]
[1, 16, 49, 8, 18, 53]
[1, 16, 49, 8, 18, 54]
[1, 16, 8, 50, 18, 51]
[1, 16, 8, 50, 52, 18]
[1, 16, 8, 50, 18, 53]
[1, 16, 8, 50, 18, 54]
[1, 16, 8, 52, 18, 51]
[1, 16, 8, 18, 51, 53]
[1, 16, 8, 18, 51, 54]
[1, 16, 8, 52, 18, 53]
[1, 16, 8, 52, 18, 54]
[1, 16, 8, 18, 53, 54]
[1, 34, 16, 37, 8, 38]
[1, 34, 16, 37, 8, 39]
[1, 34, 16, 37, 49, 8]
[1, 34, 16, 37, 8, 50]
[1, 34, 16, 37, 8, 51]
[1, 34, 16, 37, 8, 52]
[1, 34, 16, 37, 8, 53]
[1, 34, 16, 37, 8, 54]
[1, 34, 16, 8, 38, 39]
[1, 34, 16, 49, 8, 38]
[1, 34, 16, 8, 38, 50]
[1, 34, 16, 8, 38, 51]
[1, 34, 16, 8, 38, 52]
[1, 34, 16, 8, 38, 53]
[1, 34, 16, 8, 38, 54]
[1, 34, 16, 49, 8, 39]
[1, 34, 16, 8, 50, 39]
[1, 34, 16, 8, 39, 51]
[1, 34, 16, 8, 52, 39]
[1, 34, 16, 8, 39, 53]
[1, 34, 16, 8, 39, 54]
[1, 34, 16, 49, 8, 50]
[1, 34, 16, 49, 8, 51]
[1, 34, 16, 49, 8, 52]
[1, 34, 16, 49, 8, 53]
[1, 34, 16, 49, 8, 54]
[1, 34, 16, 8, 50, 51]
[1, 34, 16, 8, 50, 52]
[1, 34, 16, 8, 50, 53]
[1, 34, 16, 8, 50, 54]
[1, 34, 16, 8, 52, 51]
[1, 34, 16, 8, 51, 53]
[1, 34, 16, 8, 51, 54]
[1, 34, 16, 8, 52, 53]
[1, 34, 16, 8, 52, 54]
[1, 34, 16, 8, 53, 54]
[1, 16, 37, 8, 38, 39]
