[ 1, 10, 14, 17, 43, 50, 52, 9, 51, 53, 54 ],1
[ 1, 10, 14, 17, 50, 52, 9, 44, 51, 53, 54 ],1
[ 1, 10, 14, 43, 52, 9, 18, 44, 51, 53, 54 ],1
[ 1, 14, 40, 42, 49, 8, 43, 50, 52, 18, 44, 54 ],1
[ 1, 14, 40, 42, 8, 43, 50, 52, 18, 44, 53, 54 ],1
[ 1, 14, 42, 8, 43, 50, 52, 18, 44, 51, 53, 54 ],1
[ 1, 14, 49, 8, 43, 50, 52, 18, 44, 51, 53, 54 ],1
[ 1, 40, 16, 42, 49, 8, 43, 50, 52, 18, 44, 54 ],1
[ 1, 40, 16, 42, 49, 8, 43, 50, 52, 18, 53, 54 ],1
[ 1, 40, 16, 42, 8, 50, 52, 18, 44, 51, 53, 54 ],1
[ 1, 40, 16, 49, 8, 43, 52, 18, 44, 51, 53, 54 ],1
[ 1, 40, 42, 8, 17, 43, 50, 52, 18, 44, 53, 54 ],1
[ 1, 40, 42, 49, 8, 17, 43, 50, 52, 18, 53, 54 ],1
[ 1, 42, 49, 8, 17, 43, 50, 52, 18, 44, 53, 54 ],1
[ 1, 40, 42, 49, 8, 43, 50, 52, 18, 44, 53, 54 ],1
[ 1, 10, 14, 40, 16, 17, 50, 52, 9, 44, 53, 54 ],1
[ 1, 10, 14, 40, 16, 17, 50, 52, 9, 51, 53, 54 ],1
[ 1, 10, 14, 16, 17, 43, 50, 52, 9, 51, 53, 54 ],1
[ 1, 10, 14, 16, 17, 50, 52, 9, 44, 51, 53, 54 ],1
[ 1, 10, 14, 40, 16, 42, 50, 52, 9, 18, 44, 54 ],1
[ 1, 10, 14, 16, 49, 43, 50, 52, 9, 18, 53, 54 ],1
[ 1, 10, 14, 40, 16, 50, 52, 9, 44, 51, 53, 54 ],1
[ 1, 10, 14, 40, 42, 17, 50, 52, 9, 18, 44, 54 ],1
[ 1, 10, 14, 40, 42, 17, 52, 9, 18, 44, 53, 54 ],1
[ 1, 10, 14, 40, 17, 43, 50, 52, 9, 18, 44, 54 ],1
[ 1, 10, 14, 40, 17, 43, 52, 9, 18, 44, 51, 54 ],1
[ 1, 10, 14, 40, 17, 50, 52, 9, 18, 44, 53, 54 ],1
[ 1, 10, 14, 40, 17, 52, 9, 18, 44, 51, 53, 54 ],1
[ 1, 10, 14, 42, 49, 17, 43, 52, 9, 18, 51, 54 ],1
[ 1, 10, 14, 42, 17, 50, 52, 9, 18, 51, 53, 54 ],1
[ 1, 10, 14, 49, 17, 43, 50, 52, 9, 18, 53, 54 ],1
[ 1, 10, 14, 40, 17, 43, 52, 9, 44, 51, 53, 54 ],1
[ 1, 10, 14, 40, 17, 50, 52, 9, 44, 51, 53, 54 ],1
[ 1, 10, 14, 42, 43, 52, 9, 18, 44, 51, 53, 54 ],1
[ 1, 10, 40, 16, 42, 17, 50, 52, 9, 18, 53, 54 ],1
[ 1, 10, 40, 16, 17, 43, 52, 9, 18, 44, 53, 54 ],1
[ 1, 10, 16, 42, 49, 17, 43, 50, 52, 9, 18, 54 ],1
[ 1, 10, 16, 17, 43, 52, 9, 18, 44, 51, 53, 54 ],1
[ 1, 10, 16, 17, 50, 52, 9, 18, 44, 51, 53, 54 ],1
[ 1, 10, 40, 16, 17, 50, 52, 9, 44, 51, 53, 54 ],1
[ 1, 10, 16, 17, 43, 50, 52, 9, 44, 51, 53, 54 ],1
[ 1, 10, 16, 42, 50, 52, 9, 18, 44, 51, 53, 54 ],1
[ 1, 10, 40, 16, 43, 50, 52, 9, 44, 51, 53, 54 ],1
[ 1, 10, 40, 42, 17, 43, 50, 52, 9, 18, 44, 54 ],1
[ 1, 10, 40, 42, 17, 50, 52, 9, 18, 44, 53, 54 ],1
[ 1, 10, 40, 42, 17, 52, 9, 18, 44, 51, 53, 54 ],1
[ 1, 10, 40, 42, 17, 50, 52, 9, 18, 51, 53, 54 ],1
[ 1, 14, 42, 49, 43, 50, 52, 9, 18, 44, 53, 54 ],1
[ 1, 10, 40, 17, 50, 52, 9, 18, 44, 51, 53, 54 ],1
[ 1, 10, 42, 49, 17, 43, 50, 52, 9, 18, 44, 54 ],1
[ 1, 10, 42, 17, 43, 52, 9, 18, 44, 51, 53, 54 ],1
