[[ 3, 7, 9, 15, 33, 19 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^5 + x^4 + x^3*y + x^3 + x*y + y^2 + y + 1]
[[ 3, 7, 9, 15, 33, 19 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^4*y + x^4 + x^2*y + x^2 + y^2 + y]
[[ 3, 7, 9, 15, 33, 91 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^5*y + x^5 + x^3*y + x^3 + x*y + x + y^2 + y]
[[ 3, 7, 9, 15, 33, 91 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^6 + x^5*y + x^3*y + x^3 + x^2 + x*y + y^2 + y + 1]
[[ 3, 7, 9, 15, 33, 91 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^5*y + x^5 + x^3*y + x^3 + x^2 + x*y + y^2 + y]
[[ 3, 7, 9, 15, 33, 91 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^5 + x^4 + x^3 + x^2*y + x*y + y^2 + y + 1]
[[ 3, 7, 9, 15, 13, 67 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^6 + x^5*y + x^3*y + x^3 + x^2 + x*y + y^2 + y]
[[ 3, 7, 9, 15, 53, 67 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^5*y + x^5 + x^4 + x^3*y + x^2 + x*y + y^2 + y + 1]
[[ 3, 7, 9, 15, 13, 43 ],'<2, 1>',x^14 + x^10 + x^8 + x^6*y + x^5*y + x^5 + x^4 + x^3*y + x^2 + x*y + x + y^2 + y]
[[ 3, 7, 9, 15, 13, 43 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^4*y + x^3 + x^2*y + x + y^2 + y + 1]
[[ 3, 7, 9, 15, 53, 43 ],'<2, 1>',x^14 + x^12 + x^10 + x^9 + x^7 + x^6*y + x^6 + x^5*y + x^3*y + x*y + x + y^2 + y + 1]
[[ 3, 7, 9, 15, 53, 43 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^5 + x^4*y + x^4 + x^2*y + y^2 + y + 1]
[[ 5, 7, 11, 31, 35, 67 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4 + x^3*y + x*y + y^2 + y]
[[ 3, 7, 15, 23, 43, 43 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^3*y + x*y + x + y^2 + y + 1]
[[ 5, 7, 5, 7, 25, 43 ],'<2, 1>',x^14 + x^12 + x^10 + x^7 + x^6*y + x^6 + x^5*y + x^3*y + x^3 + x*y + y^2 + y]
[[ 5, 7, 17, 23, 25, 67 ],'<2, 1>',x^14 + x^12 + x^10 + x^7 + x^6*y + x^5*y + x^5 + x^4 + x^3*y + x*y + y^2 + y]
[[ 5, 7, 17, 23, 25, 67 ],'<4, 1>',x^13 + x^12 + x^11 + x^6 + x^5 + x^4*y + x^4 + x^2*y + y^2 + y]
[[ 1, 7, 1, 7, 21, 91 ],'<2, 1>',x^14 + x^11 + x^10 + x^8 + x^6*y + x^6 + x^5*y + x^4 + x^3*y + x*y + y^2 + y + 1]
