[[ 5, 9, 14, 25, 45, 78 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^4 + x^3 + x^2*y + y^2 + y]
[[ 3, 9, 6, 17, 23, 54 ],'<2, 1>',x^14 + x^10 + x^9 + x^7 + x^6*y + x^6 + x^5 + x^3 + x^2*y + x^2 + x + y^2 + y]
[[ 3, 9, 6, 17, 23, 30 ],'<2, 1>',x^13 + x^11 + x^9 + x^7 + x^6*y + x^6 + x^4 + x^3 + x^2*y + x^2 + x + y^2 + y + 1]
[[ 3, 9, 12, 17, 43, 78 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^7 + x^6*y + x^6 + x^5 + x^4 + x^3 + x^2*y + y^2 + y + 1]
[[ 3, 9, 12, 17, 43, 78 ],'<2, 1>',x^14 + x^12 + x^10 + x^6*y + x^6 + x^5 + x^4 + x^3 + x^2*y + x^2 + x + y^2 + y]
[[ 3, 5, 12, 25, 33, 38 ],'<2, 1>',x^13 + x^11 + x^9 + x^7 + x^6*y + x^6 + x^5 + x^4 + x^2*y + x^2 + x + y^2 + y]
[[ 3, 9, 12, 33, 23, 102 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^7 + x^6*y + x^6 + x^5 + x^4 + x^3 + x^2*y + y^2 + y]
[[ 3, 5, 12, 33, 53, 38 ],'<2, 1>',x^13 + x^12 + x^11 + x^7 + x^6*y + x^5 + x^4 + x^3 + x^2*y + x^2 + x + y^2 + y]
[[ 3, 9, 12, 17, 23, 78 ],'<2, 1>',x^13 + x^12 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^3 + x^2*y + x^2 + x + y^2 + y]
[[ 3, 9, 12, 17, 43, 54 ],'<2, 1>',x^13 + x^12 + x^10 + x^6*y + x^6 + x^5 + x^4 + x^3 + x^2*y + x^2 + x + y^2 + y + 1]
[[ 3, 9, 6, 17, 23, 78 ],'<2, 1>',x^14 + x^10 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^3 + x^2*y + x^2 + x + y^2 + y]
[[ 3, 9, 6, 17, 23, 78 ],'<2, 1>',x^13 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4 + x^3 + x^2*y + x + y^2 + y + 1]
[[ 3, 9, 6, 17, 63, 102 ],'<2, 1>',x^14 + x^11 + x^9 + x^7 + x^6*y + x^6 + x^4 + x^3 + x^2*y + x^2 + x + y^2 + y]
[[ 3, 9, 12, 9, 23, 54 ],'<2, 1>',x^13 + x^10 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4 + x^2*y + x^2 + x + y^2 + y]
[[ 3, 9, 12, 25, 43, 78 ],'<2, 1>',x^13 + x^11 + x^10 + x^6*y + x^6 + x^5 + x^4 + x^3 + x^2*y + x^2 + x + y^2 + y + 1]
