[[ 3, 7, 3, 19, 33, 79 ],'<2, 1>',x^14 + x^11 + x^10 + x^6*y + x^3*y + x^2*y + x*y + y^2 + y + 1]
[[ 3, 7, 3, 19, 33, 79 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^6 + x^3*y + x^2*y + x^2 + x*y + x + y^2 + y]
[[ 3, 7, 9, 27, 53, 67 ],'<2, 1>',x^14 + x^10 + x^9 + x^6*y + x^3*y + x^2*y + x*y + y^2 + y + 1]
[[ 3, 7, 9, 27, 53, 67 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^6*y + x^5 + x^3 + x*y + y^2 + 1]
[[ 3, 7, 15, 19, 33, 103 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^6 + x^3*y + x^2*y + x^2 + x*y + x + y^2 + y + 1]
[[ 3, 7, 15, 19, 33, 103 ],'<2, 1>',x^13 + x^12 + x^10 + x^6*y + x^3*y + x^2*y + x*y + y^2 + y + 1]
[[ 3, 7, 15, 19, 33, 103 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4 + x*y + y^2 + 1]
[[ 3, 7, 3, 19, 33, 103 ],'<2, 1>',x^14 + x^9 + x^8 + x^6*y + x^3*y + x^2*y + x*y + y^2 + y]
[[ 3, 7, 3, 19, 33, 103 ],'<2, 1>',x^14 + x^11 + x^9 + x^6*y + x^3*y + x^2*y + x*y + y^2 + y]
[[ 3, 7, 3, 19, 33, 103 ],'<2, 1>',x^13 + x^12 + x^10 + x^8 + x^6*y + x^5 + x^4 + x*y + y^2 + 1]
[[ 3, 7, 3, 11, 33, 79 ],'<2, 1>',x^13 + x^11 + x^8 + x^6*y + x^3*y + x^2*y + x*y + y^2 + y]
[[ 3, 7, 15, 19, 33, 79 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^6 + x^3*y + x^2*y + x^2 + x*y + x + y^2 + y]
[[ 3, 7, 15, 19, 33, 79 ],'<2, 1>',x^14 + x^11 + x^8 + x^6*y + x^3*y + x^2*y + x*y + y^2 + y + 1]
[[ 3, 7, 9, 19, 33, 67 ],'<2, 1>',x^13 + x^11 + x^10 + x^6*y + x^3*y + x^2*y + x*y + y^2 + y + 1]
