[[ 4, 8, 7, 24, 64, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6 + x^4*y + x^3 + x^2*y + x*y + x + y^2]
[[ 4, 4, 7, 24, 44, 85 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^6 + x^5 + x^4*y + x^2*y + x^2 + x*y + x + y^2]
[[ 4, 4, 7, 32, 14, 61 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^6 + x^5 + x^4*y + x^2*y + x^2 + x*y + x + y^2]
[[ 4, 8, 13, 8, 24, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6 + x^4*y + x^2*y + x^2 + x*y + x + y^2]
[[ 4, 8, 7, 8, 34, 29 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^2*y + x*y + x + y^2]
[[ 2, 4, 5, 16, 32, 61 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^3 + x^2*y + x^2 + x*y + x + y^2]
[[ 4, 4, 13, 16, 34, 61 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^5 + x^4*y + x^4 + x^2*y + x*y + x + y^2]
[[ 4, 4, 7, 8, 34, 61 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^4*y + x^2*y + x^2 + x*y + x + y^2]
[[ 2, 4, 11, 24, 12, 85 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^5 + x^4*y + x^4 + x^3 + x^2*y + x*y + y^2 + 1]
[[ 2, 4, 5, 8, 22, 85 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3 + x^2*y + x*y + y^2 + 1]
[[ 2, 4, 5, 32, 42, 61 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3 + x^2*y + x*y + y^2 + 1]
[[ 2, 4, 11, 8, 32, 61 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^2*y + x^2 + x*y + y^2 + 1]
[[ 2, 6, 14, 14, 2, 54 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6 + x^4*y + x^3*y + x^3 + x^2*y + x + y^2 + 1]
[[ 4, 6, 4, 14, 64, 54 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^4*y + x^3*y + x^2*y + x^2 + x + y^2]
[[ 4, 6, 10, 22, 34, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^4*y + x^3*y + x^3 + x^2*y + x + y^2]
[[ 4, 6, 10, 22, 34, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x + y^2]
[[ 4, 6, 4, 14, 44, 54 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^4*y + x^4 + x^3*y + x^2*y + x + y^2]
[[ 4, 6, 16, 30, 44, 54 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x + y^2]
[[ 2, 6, 8, 14, 52, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6 + x^4*y + x^3*y + x^3 + x^2*y + x + y^2 + 1]
[[ 2, 6, 14, 22, 22, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x + y^2 + 1]
[[ 2, 6, 14, 22, 22, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x + y^2 + 1]
[[ 2, 6, 8, 14, 32, 42 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6 + x^4*y + x^3*y + x^2*y + x^2 + x + y^2 + 1]
[[ 2, 6, 8, 22, 32, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^4*y + x^3*y + x^2*y + x^2 + x + y^2 + 1]
[[ 2, 6, 8, 22, 32, 78 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^4*y + x^3*y + x^2*y + x^2 + x + y^2 + 1]
[[ 4, 6, 10, 14, 34, 42 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x + y^2]
[[ 2, 6, 8, 14, 32, 90 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^4*y + x^3*y + x^2*y + x^2 + x + y^2 + 1]
[[ 2, 6, 2, 30, 22, 54 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^2*y + x + y^2 + 1]
[[ 4, 6, 10, 14, 34, 90 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6 + x^4*y + x^3*y + x^3 + x^2*y + x + y^2]
[[ 4, 6, 16, 22, 24, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7 + x^6 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x + y^2]
[[ 4, 6, 16, 22, 44, 90 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x + y^2]
[[ 2, 6, 2, 14, 22, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6 + x^4*y + x^4 + x^3*y + x^2*y + x + y^2 + 1]
[[ 4, 6, 4, 22, 44, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^2*y + x^2 + x + y^2]
[[ 4, 6, 4, 22, 44, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^2*y + x + y^2]
[[ 4, 6, 4, 22, 24, 90 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x + y^2]
[[ 2, 6, 2, 22, 22, 90 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^2*y + x^2 + x + y^2 + 1]
[[ 2, 6, 2, 6, 42, 90 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^2*y + x + y^2 + 1]
[[ 4, 6, 10, 22, 34, 30 ],'<2, 1>',x^13 + x^11 + x^10 + x^8 + x^7 + x^4*y + x^3*y + x^2*y + x + y^2]
[[ 2, 6, 8, 6, 32, 54 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^4*y + x^3*y + x^3 + x^2*y + x + y^2 + 1]
