[[ 1, 9, 7, 25, 31, 51 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^6*y + x^6 + x^5*y + x + y^2 + y + 1]
[[ 5, 9, 11, 17, 45, 51 ],'<2, 1>',x^13 + x^12 + x^10 + x^9 + x^6*y + x^5*y + x^5 + x^3 + y^2 + y]
[[ 1, 9, 13, 25, 41, 87 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4 + y^2 + y + 1]
[[ 5, 9, 17, 33, 15, 63 ],'<2, 1>',x^14 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^5*y + x^2 + y^2 + y]
[[ 5, 5, 5, 17, 15, 71 ],'<2, 1>',x^13 + x^12 + x^10 + x^8 + x^7 + x^6*y + x^5*y + x^2 + y^2 + y]
[[ 5, 9, 11, 25, 35, 99 ],'<2, 1>',x^14 + x^11 + x^10 + x^8 + x^6*y + x^5*y + x^5 + x^4 + y^2 + y]
[[ 1, 5, 13, 17, 31, 71 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^4 + x^3 + y^2 + y + 1]
[[ 1, 9, 13, 9, 41, 63 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^7 + x^6*y + x^5*y + x + y^2 + y + 1]
[[ 1, 5, 1, 17, 21, 83 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4 + y^2 + y + 1]
[[ 5, 9, 5, 33, 45, 75 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^3 + y^2 + y]
[[ 5, 5, 5, 17, 35, 71 ],'<2, 1>',x^14 + x^12 + x^11 + x^8 + x^6*y + x^6 + x^5*y + x + y^2 + y]
