[[ 3, 5, 3, 25, 43, 83 ],'<2, 1>',x^13 + x^11 + x^10 + x^6*y + x*y + y^2 + y + 1]
[[ 3, 5, 9, 33, 43, 71 ],'<2, 1>',x^14 + x^10 + x^7 + x^6*y + x*y + y^2 + y + 1]
[[ 3, 5, 15, 17, 33, 59 ],'<2, 1>',x^13 + x^11 + x^6*y + x^4 + x*y + y^2 + y + 1]
[[ 3, 9, 3, 9, 43, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^3 + x^2 + x*y + y^2 + y]
[[ 3, 9, 15, 17, 23, 63 ],'<2, 1>',x^14 + x^9 + x^7 + x^6*y + x*y + y^2 + y]
[[ 3, 9, 9, 33, 33, 99 ],'<2, 1>',x^14 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^4 + x^3 + x*y + y^2 + y + 1]
[[ 3, 9, 9, 33, 33, 99 ],'<2, 1>',x^14 + x^10 + x^9 + x^6*y + x*y + y^2 + y]
[[ 3, 5, 3, 17, 43, 119 ],'<2, 1>',x^14 + x^9 + x^6*y + x^5 + x*y + y^2 + y]
[[ 3, 5, 3, 17, 33, 59 ],'<2, 1>',x^13 + x^12 + x^9 + x^6*y + x*y + y^2 + y]
[[ 3, 5, 9, 25, 23, 35 ],'<2, 1>',x^13 + x^10 + x^9 + x^6*y + x*y + y^2 + y]
[[ 3, 5, 9, 17, 33, 59 ],'<2, 1>',x^14 + x^10 + x^9 + x^6*y + x*y + y^2 + y + 1]
[[ 3, 5, 9, 17, 33, 59 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^6 + x^4 + x*y + x + y^2 + y]
[[ 3, 9, 9, 25, 23, 99 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^4 + x^3 + x*y + y^2 + y + 1]
[[ 3, 9, 9, 9, 13, 63 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^5 + x^4 + x^2 + x*y + y^2 + y + 1]
[[ 3, 5, 9, 9, 23, 59 ],'<2, 1>',x^13 + x^11 + x^9 + x^6*y + x*y + y^2 + y + 1]
[[ 1, 9, 1, 25, 41, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^8 + x^6*y + x^5 + x^4 + x*y + y^2 + y + 1]
[[ 5, 5, 11, 25, 25, 83 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^6*y + x^4 + x^2 + x*y + y^2 + y]
[[ 1, 9, 1, 17, 21, 63 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^6*y + x^5 + x^2 + x*y + y^2 + y + 1]
[[ 5, 9, 11, 25, 35, 63 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^6*y + x^4 + x*y + x + y^2 + y]
[[ 1, 5, 1, 9, 41, 59 ],'<2, 1>',x^14 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^4 + x*y + y^2 + y + 1]
[[ 1, 9, 7, 17, 31, 51 ],'<2, 1>',x^14 + x^12 + x^10 + x^9 + x^7 + x^6*y + x*y + x + y^2 + y + 1]
[[ 5, 9, 5, 25, 25, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^6*y + x^5 + x*y + x + y^2 + y]
[[ 1, 9, 13, 17, 21, 63 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^6*y + x^6 + x^2 + x*y + y^2 + y + 1]
[[ 5, 9, 11, 25, 35, 87 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^6*y + x^5 + x^4 + x*y + y^2 + y]
[[ 1, 9, 7, 33, 41, 63 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^3 + x^2 + x*y + y^2 + y + 1]
[[ 5, 9, 11, 17, 35, 75 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4 + x*y + y^2 + y]
[[ 5, 9, 5, 9, 15, 111 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^6*y + x^4 + x^3 + x*y + y^2 + y]
[[ 5, 9, 17, 25, 25, 75 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^6*y + x*y + x + y^2 + y]
[[ 5, 5, 11, 9, 35, 71 ],'<2, 1>',x^14 + x^11 + x^10 + x^8 + x^6*y + x^6 + x^3 + x*y + y^2 + y]
[[ 1, 5, 7, 25, 1, 83 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4 + x^2 + x*y + y^2 + y + 1]
[[ 1, 9, 7, 17, 31, 75 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4 + x^2 + x*y + y^2 + y + 1]
[[ 5, 9, 11, 17, 35, 51 ],'<2, 1>',x^14 + x^11 + x^8 + x^7 + x^6*y + x^6 + x^5 + x*y + y^2 + y]
[[ 5, 9, 5, 33, 55, 75 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5 + x^4 + x^3 + x^2 + x*y + y^2 + y]
[[ 1, 5, 7, 9, 31, 71 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^4 + x^2 + x*y + y^2 + y + 1]
[[ 5, 5, 11, 17, 25, 71 ],'<2, 1>',x^14 + x^12 + x^10 + x^9 + x^6*y + x^4 + x^3 + x*y + y^2 + y]
[[ 5, 5, 11, 17, 25, 71 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^3 + x^2 + x*y + y^2 + y]
[[ 1, 9, 7, 25, 31, 63 ],'<2, 1>',x^13 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^5 + x*y + y^2 + y + 1]
[[ 1, 5, 7, 25, 41, 83 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^3 + x^2 + x*y + y^2 + y + 1]
[[ 1, 5, 13, 17, 51, 59 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5 + x^4 + x^3 + x^2 + x*y + y^2 + y + 1]
