[[ 4, 6, 16, 10, 44, 90 ],'<2, 1>',x^11 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^2 + x*y + x + y^2 + y + 1]
[[ 4, 6, 4, 18, 34, 78 ],'<2, 1>',x^12 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 4, 6, 4, 10, 44, 42 ],'<2, 1>',x^12 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3 + x*y + x + y^2 + y]
[[ 2, 10, 8, 18, 12, 70 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^7*y + x^7 + x^6 + x^5 + x^3 + x^2 + x*y + y^2 + y + 1]
[[ 4, 10, 4, 18, 44, 70 ],'<2, 1>',x^12 + x^11 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3 + x^2 + x*y + y^2 + y]
[[ 4, 10, 4, 18, 44, 70 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^5 + x^4 + x^3*y + y^2 + y]
[[ 2, 10, 8, 18, 32, 94 ],'<2, 1>',x^14 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^4 + x^3 + x^2 + x*y + x + y^2 + y]
[[ 2, 10, 8, 18, 32, 94 ],'<2, 1>',x^14 + x^10 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^2 + x + y^2 + y + 1]
[[ 2, 10, 8, 18, 32, 94 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^7*y + x^7 + x^5 + x^4 + x^3*y + x^3 + x^2 + y^2 + y + 1]
[[ 4, 6, 10, 34, 14, 66 ],'<2, 1>',x^13 + x^11 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3 + x*y + x + y^2 + y]
[[ 4, 6, 10, 34, 14, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7*y + x^5 + x^4 + x^3*y + x + y^2 + y]
[[ 2, 10, 14, 18, 22, 70 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^3 + x*y + x + y^2 + y + 1]
[[ 2, 10, 14, 18, 22, 70 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^5 + x^4 + x^3*y + x^3 + y^2 + y + 1]
[[ 4, 6, 4, 26, 44, 102 ],'<2, 1>',x^13 + x^11 + x^10 + x^7*y + x^7 + x^6 + x^4 + x^3 + x^2 + x*y + x + y^2 + y]
[[ 4, 6, 10, 26, 24, 66 ],'<2, 1>',x^12 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3 + x^2 + x*y + y^2 + y]
[[ 4, 6, 10, 26, 24, 66 ],'<2, 1>',x^12 + x^11 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + y + 1]
[[ 4, 10, 10, 26, 54, 70 ],'<2, 1>',x^13 + x^12 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^2 + x*y + x + y^2 + y]
[[ 4, 10, 10, 26, 54, 70 ],'<2, 1>',x^14 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^4 + x*y + y^2 + y]
[[ 4, 10, 10, 26, 54, 70 ],'<2, 1>',x^13 + x^11 + x^9 + x^7*y + x^7 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + y + 1]
[[ 2, 6, 14, 18, 32, 78 ],'<2, 1>',x^14 + x^13 + x^10 + x^7*y + x^7 + x^6 + x^4 + x^3 + x^2 + x*y + x + y^2 + y]
[[ 4, 10, 10, 26, 54, 94 ],'<2, 1>',x^13 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3 + x*y + x + y^2 + y + 1]
[[ 2, 6, 14, 10, 22, 42 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^4 + x*y + x + y^2 + y + 1]
[[ 2, 6, 8, 26, 22, 90 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^7*y + x^7 + x^6 + x^5 + x^4 + x*y + x + y^2 + y]
[[ 2, 6, 8, 26, 22, 90 ],'<2, 1>',x^13 + x^12 + x^11 + x^7*y + x^7 + x^5 + x*y + x + y^2 + y + 1]
[[ 2, 6, 8, 26, 22, 90 ],'<2, 1>',x^7*y + x^3*y + y^2 + y + 1]
[[ 2, 6, 8, 26, 22, 90 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x + y^2 + y + 1]
[[ 2, 6, 2, 26, 32, 54 ],'<2, 1>',x^14 + x^12 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^2 + x*y + x + y^2 + y]
[[ 2, 6, 2, 26, 32, 54 ],'<2, 1>',x^12 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^5 + x*y + y^2 + y + 1]
[[ 2, 6, 2, 26, 32, 54 ],'<2, 1>',x^14 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + y]
[[ 2, 10, 8, 10, 42, 82 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^2 + x*y + y^2 + y + 1]
[[ 4, 6, 10, 26, 34, 90 ],'<2, 1>',x^12 + x^11 + x^10 + x^7*y + x^7 + x^5 + x^4 + x^3 + x^2 + x*y + x + y^2 + y + 1]
