[[ 2, 10, 14, 26, 42, 94 ],'<2, 1>',x^14 + x^13 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3 + x*y + y^2 + y]
[[ 2, 6, 8, 34, 32, 66 ],'<2, 1>',x^14 + x^12 + x^9 + x^7*y + x^6 + x^5 + x^4 + x^3 + x^2 + x*y + x + y^2 + y]
[[ 2, 6, 8, 34, 32, 66 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^2 + y^2 + y]
[[ 2, 6, 2, 26, 22, 54 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3 + x*y + y^2 + y]
[[ 2, 6, 8, 26, 32, 90 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^4 + x*y + x + y^2 + y]
[[ 2, 6, 8, 26, 32, 90 ],'<2, 1>',x^14 + x^11 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^2 + x + y^2 + y + 1]
[[ 4, 6, 16, 26, 44, 54 ],'<2, 1>',x^13 + x^12 + x^9 + x^7*y + x^6 + x^5 + x^4 + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 4, 10, 10, 26, 34, 82 ],'<2, 1>',x^12 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^2 + x*y + x + y^2 + y]
[[ 2, 10, 8, 26, 12, 70 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x*y + x + y^2 + y + 1]
[[ 2, 10, 8, 26, 12, 70 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^5 + x^2 + x*y + x + y^2 + y + 1]
[[ 2, 10, 8, 26, 12, 70 ],'<2, 1>',x^14 + x^12 + x^10 + x^7*y + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + y]
[[ 2, 6, 8, 26, 32, 42 ],'<2, 1>',x^14 + x^10 + x^8 + x^7*y + x^7 + x^6 + x^4 + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 2, 6, 8, 26, 32, 42 ],'<2, 1>',x^14 + x^10 + x^8 + x^7*y + x^7 + x^6 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 4, 10, 16, 34, 34, 34 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3 + x*y + y^2 + y + 1]
[[ 2, 10, 14, 26, 12, 82 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^2 + x*y + y^2 + y]
[[ 2, 10, 14, 26, 12, 82 ],'<2, 1>',x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^5 + x^4 + x^3 + x*y + x + y^2 + y + 1]
[[ 2, 10, 14, 26, 12, 82 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^7*y + x^7 + x^6 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + y^2 + y]
[[ 2, 6, 2, 34, 22, 30 ],'<2, 1>',x^14 + x^10 + x^9 + x^7*y + x^7 + x^5 + x^4 + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 2, 6, 8, 26, 42, 66 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3 + x*y + y^2 + y + 1]
[[ 2, 6, 8, 26, 42, 66 ],'<2, 1>',x^14 + x^13 + x^10 + x^7*y + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + y]
[[ 2, 6, 2, 18, 22, 66 ],'<2, 1>',x^14 + x^12 + x^9 + x^7*y + x^6 + x^5 + x^4 + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 2, 10, 14, 10, 52, 70 ],'<2, 1>',x^14 + x^13 + x^8 + x^7*y + x^7 + x^5 + x^4 + x^3 + x^2 + x*y + x + y^2 + y]
[[ 2, 10, 14, 10, 52, 70 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^4 + x^3*y + x^3 + x^2 + y^2 + y + 1]
[[ 6, 6, 12, 26, 46, 66 ],'<2, 1>',x^13 + x^11 + x^9 + x^8 + x^7*y + x^6 + x^5 + x^3 + x*y + x + y^2 + y]
[[ 6, 6, 12, 26, 46, 66 ],'<2, 1>',x^11 + x^8 + x^7*y + x^7 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x + y^2 + y]
[[ 0, 10, 0, 18, 30, 58 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^4 + x^3 + x*y + y^2 + y + 1]
[[ 4, 10, 16, 18, 34, 58 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^7*y + x^7 + x^2 + x*y + x + y^2 + y]
[[ 4, 10, 16, 18, 34, 58 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^5 + x^3*y + x + y^2 + y]
