[[ 3, 9, 6, 25, 43, 90 ],'<2, 1>',x^13 + x^12 + x^11 + x^6 + x^5 + x^4 + x^3*y + x^3 + x^2 + x*y + x + y^2 + y]
[[ 3, 5, 12, 33, 53, 50 ],'<2, 1>',x^13 + x^11 + x^9 + x^7 + x^5 + x^4 + x^3*y + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 3, 5, 12, 25, 23, 74 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^7 + x^6 + x^5 + x^4 + x^3*y + x*y + x + y^2 + y + 1]
[[ 1, 9, 4, 17, 31, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^6 + x^3*y + x^3 + x^2 + x*y + y^2 + y + 1]
[[ 1, 9, 10, 9, 21, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7 + x^3*y + x^3 + x^2 + x*y + y^2 + y + 1]
[[ 1, 5, 10, 17, 61, 50 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^6 + x^4 + x^3*y + x^3 + x*y + x + y^2 + y + 1]
[[ 1, 9, 10, 17, 51, 90 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^3*y + x^2 + x*y + x + y^2 + y + 1]
[[ 3, 5, 12, 25, 33, 26 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^7 + x^6 + x^5 + x^4 + x^3*y + x*y + x + y^2 + y]
[[ 3, 5, 12, 25, 33, 98 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^6 + x^5 + x^3*y + x^3 + x^2 + x*y + x + y^2 + y]
[[ 3, 9, 6, 17, 53, 90 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^7 + x^6 + x^5 + x^3*y + x^3 + x^2 + x*y + y^2 + y + 1]
[[ 3, 9, 6, 17, 23, 42 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^7 + x^6 + x^5 + x^3*y + x^3 + x^2 + x*y + y^2 + y]
[[ 3, 5, 6, 25, 43, 50 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^7 + x^6 + x^5 + x^4 + x^3*y + x^3 + x*y + y^2 + y]
[[ 3, 5, 6, 9, 43, 98 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^7 + x^6 + x^5 + x^3*y + x^3 + x^2 + x*y + y^2 + y + 1]
[[ 1, 9, 4, 33, 31, 42 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^4 + x^3*y + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 3, 9, 12, 17, 13, 90 ],'<2, 1>',x^14 + x^13 + x^11 + x^8 + x^7 + x^6 + x^5 + x^3*y + x^3 + x^2 + x*y + y^2 + y]
[[ 5, 5, 8, 33, 25, 98 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^3*y + x^3 + x^2 + x*y + x + y^2 + y]
[[ 5, 5, 8, 9, 25, 74 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^5 + x^4 + x^3*y + x*y + y^2 + y]
