[[ 2, 6, 2, 18, 32, 114 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^3 + x^2*y + x*y + y^2 + y + 1]
[[ 2, 6, 2, 10, 42, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7*y + x^6*y + x^5*y + x^5 + x^4*y + x^2*y + x^2 + x*y + x + y^2 + y]
[[ 2, 6, 2, 10, 42, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7*y + x^7 + x^6*y + x^5*y + x^5 + x^4*y + x^3 + x^2*y + x*y + x + y^2 + y + 1]
[[ 2, 6, 2, 18, 32, 66 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^8 + x^7*y + x^7 + x^6*y + x^5*y + x^5 + x^4*y + x^3 + x^2*y + x*y + x + y^2 + y]
[[ 2, 6, 2, 18, 32, 66 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4 + x^2*y + x^2 + y^2 + y + 1]
[[ 2, 10, 2, 26, 22, 58 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^3 + x^2*y + x*y + y^2 + y + 1]
[[ 2, 10, 2, 26, 22, 58 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^2*y + x^2 + x*y + y^2 + y]
[[ 4, 6, 10, 18, 44, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^3 + x^2*y + x*y + x + y^2 + y]
[[ 4, 6, 10, 18, 44, 66 ],'<2, 1>',x^11 + x^10 + x^9 + x^7*y + x^6*y + x^5*y + x^2*y + y^2 + y + 1]
[[ 2, 6, 14, 18, 22, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^7*y + x^7 + x^6*y + x^5*y + x^5 + x^4*y + x^3 + x^2*y + x*y + x + y^2 + y]
[[ 2, 6, 14, 18, 22, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^7*y + x^7 + x^6*y + x^5*y + x^5 + x^4*y + x^2*y + x^2 + x*y + x + y^2 + y + 1]
[[ 2, 6, 14, 18, 22, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7*y + x^6*y + x^6 + x^5*y + x^2*y + x^2 + x + y^2 + y]
[[ 4, 10, 10, 26, 54, 82 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^2*y + x^2 + x*y + y^2 + y]
[[ 0, 10, 6, 34, 40, 58 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^3 + x^2*y + x*y + x + y^2 + y + 1]
[[ 0, 6, 6, 26, 50, 90 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6*y + x^5*y + x^5 + x^4*y + x^3 + x^2*y + x*y + x + y^2 + y + 1]
[[ 0, 10, 6, 26, 20, 46 ],'<2, 1>',x^14 + x^13 + x^9 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^2*y + x*y + y^2 + y + 1]
[[ 0, 10, 6, 26, 20, 46 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6*y + x^6 + x^5*y + x^3 + x^2*y + x + y^2 + y + 1]
[[ 0, 10, 6, 18, 30, 94 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^2*y + x*y + x + y^2 + y + 1]
[[ 0, 10, 6, 18, 30, 94 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6*y + x^5*y + x^5 + x^3 + x^2*y + x^2 + y^2 + y + 1]
[[ 0, 10, 6, 18, 20, 58 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7*y + x^7 + x^6*y + x^5*y + x^5 + x^4*y + x^4 + x^2*y + x*y + x + y^2 + y + 1]
[[ 0, 10, 6, 18, 20, 58 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6*y + x^5*y + x^5 + x^2*y + x^2 + x + y^2 + y + 1]
[[ 0, 6, 6, 18, 20, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7*y + x^7 + x^6*y + x^5*y + x^5 + x^4*y + x^3 + x^2*y + x^2 + x*y + y^2 + y + 1]
[[ 6, 6, 6, 34, 56, 54 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^2*y + x*y + y^2 + y]
[[ 2, 10, 8, 10, 52, 106 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^2*y + x*y + y^2 + y + 1]
[[ 6, 10, 12, 18, 36, 94 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^3 + x^2*y + x^2 + x*y + y^2 + y]
[[ 6, 10, 12, 18, 36, 94 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^5*y + x^5 + x^3 + x^2*y + x^2 + y^2 + y]
[[ 6, 10, 6, 18, 36, 94 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^2*y + x*y + x + y^2 + y]
[[ 6, 6, 18, 26, 36, 66 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^5*y + x^4*y + x^4 + x^2*y + x^2 + x*y + x + y^2 + y]
[[ 4, 6, 16, 18, 34, 114 ],'<2, 1>',x^13 + x^12 + x^7*y + x^7 + x^6*y + x^5*y + x^4*y + x^2*y + x*y + y^2 + y]
[[ 4, 6, 4, 26, 54, 102 ],'<2, 1>',x^13 + x^12 + x^8 + x^7*y + x^6*y + x^5*y + x^4*y + x^2*y + x*y + y^2 + y + 1]
[[ 4, 6, 16, 26, 44, 42 ],'<2, 1>',x^13 + x^11 + x^9 + x^7*y + x^6*y + x^5*y + x^4*y + x^2*y + x*y + y^2 + y + 1]
[[ 2, 6, 8, 26, 12, 54 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^7*y + x^7 + x^6*y + x^5*y + x^5 + x^4*y + x^4 + x^3 + x^2*y + x*y + y^2 + y + 1]
[[ 2, 6, 8, 18, 62, 54 ],'<2, 1>',x^14 + x^12 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^2*y + x*y + x + y^2 + y + 1]
[[ 2, 6, 8, 26, 42, 90 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^7*y + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3 + x^2*y + x*y + y^2 + y]
[[ 2, 6, 2, 34, 32, 90 ],'<2, 1>',x^14 + x^13 + x^11 + x^9 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^2*y + x^2 + x*y + y^2 + y]
[[ 2, 6, 8, 18, 32, 42 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^7*y + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^3 + x^2*y + x*y + x + y^2 + y + 1]
[[ 4, 6, 4, 18, 24, 54 ],'<2, 1>',x^13 + x^9 + x^7*y + x^6*y + x^5*y + x^4*y + x^3 + x^2*y + x*y + y^2 + y]
[[ 4, 10, 4, 26, 54, 70 ],'<2, 1>',x^11 + x^10 + x^7*y + x^7 + x^6*y + x^5*y + x^4*y + x^2*y + x*y + y^2 + y]
[[ 4, 6, 16, 34, 34, 90 ],'<2, 1>',x^13 + x^10 + x^8 + x^7*y + x^6*y + x^5*y + x^4*y + x^2*y + x*y + y^2 + y + 1]
[[ 2, 6, 14, 26, 52, 54 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6*y + x^5*y + x^4*y + x^4 + x^3 + x^2*y + x^2 + x*y + y^2 + y]
[[ 2, 10, 8, 26, 42, 82 ],'<2, 1>',x^14 + x^13 + x^12 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3 + x^2*y + x*y + y^2 + y]
[[ 2, 10, 8, 26, 42, 82 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^8 + x^7*y + x^6*y + x^6 + x^5*y + x^5 + x^3 + x^2*y + x^2 + y^2 + y]
[[ 2, 10, 14, 34, 22, 94 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^2*y + x^2 + x*y + y^2 + y]
[[ 4, 6, 10, 26, 14, 78 ],'<2, 1>',x^12 + x^11 + x^9 + x^7*y + x^6*y + x^5*y + x^4*y + x^2*y + x*y + y^2 + y + 1]
[[ 2, 10, 8, 26, 42, 58 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^5*y + x^4*y + x^3 + x^2*y + x*y + x + y^2 + y]
[[ 2, 10, 8, 26, 42, 58 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^8 + x^7*y + x^7 + x^6*y + x^5*y + x^5 + x^4 + x^2*y + x + y^2 + y + 1]
[[ 3, 9, 9, 9, 33, 57 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^7 + x^5 + x^4 + x^2 + y^2 + y + 1]
[[ 3, 9, 9, 9, 33, 57 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^7 + x^6 + x^5 + x^3 + y^2 + y]
[[ 3, 9, 9, 25, 33, 105 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^7 + x^6 + x^5 + x + y^2 + y]
[[ 3, 9, 9, 25, 33, 105 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^7 + x^6 + x^3 + x^2 + y^2 + y]
[[ 3, 5, 9, 17, 53, 65 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7 + x^6 + x^2 + x + y^2 + y]
[[ 3, 9, 9, 25, 53, 81 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^7 + x^5 + x^3 + x + y^2 + y]
[[ 3, 5, 9, 17, 33, 65 ],'<2, 1>',x^14 + x^13 + x^10 + x^8 + x^7 + x^5 + x^2 + y^2 + y + 1]
[[ 3, 5, 9, 17, 33, 65 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7 + x^6 + x^5 + x^2 + y^2 + y]
[[ 3, 9, 3, 9, 53, 69 ],'<2, 1>',x^13 + x^12 + x^10 + x^9 + x^7 + x^5 + x^3 + y^2 + y + 1]
[[ 3, 9, 9, 25, 33, 81 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4 + y^2 + y + 1]
[[ 3, 9, 9, 25, 33, 81 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4 + y^2 + y]
[[ 3, 5, 3, 17, 33, 101 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^5 + x^2 + x + y^2 + y]
[[ 3, 5, 3, 33, 13, 53 ],'<2, 1>',x^14 + x^13 + x^10 + x^9 + x^8 + x^3 + x + y^2 + y + 1]
[[ 3, 5, 3, 17, 33, 77 ],'<2, 1>',x^13 + x^12 + x^11 + x^7 + x^6 + x^5 + x^4 + y^2 + y]
[[ 3, 9, 15, 9, 13, 69 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^6 + x^5 + x^4 + x + y^2 + y]
