[[ 1, 5, 7, 17, 11, 83 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^5*y + x^4*y + x^3*y + x^2*y + x^2 + x*y + y^2 + y + 1]
[[ 1, 5, 7, 17, 11, 83 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^3*y + x + y^2 + y + 1]
[[ 1, 9, 7, 9, 21, 75 ],'<2, 1>',x^13 + x^12 + x^10 + x^9 + x^6*y + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x*y + y^2 + y + 1]
[[ 1, 9, 7, 9, 21, 75 ],'<2, 1>',x^13 + x^11 + x^10 + x^8 + x^6*y + x^5 + x^4 + x^3*y + y^2 + y + 1]
[[ 1, 9, 7, 9, 21, 75 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^3 + x*y + y^2 + y + 1]
[[ 3, 9, 9, 9, 23, 51 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x*y + y^2 + y + 1]
[[ 3, 9, 9, 9, 23, 51 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^4 + x^3*y + x^3 + x^2 + y^2 + y]
[[ 1, 9, 7, 25, 21, 51 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^6*y + x^5*y + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + y + 1]
[[ 5, 5, 11, 17, 35, 59 ],'<2, 1>',x^13 + x^11 + x^10 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + x*y + y^2 + y]
[[ 5, 5, 11, 17, 35, 59 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^3*y + x^3 + x + y^2 + y]
[[ 5, 5, 11, 17, 35, 59 ],'<2, 1>',x^14 + x^12 + x^11 + x^8 + x^6*y + x^5 + x^2 + x*y + y^2 + y]
[[ 5, 5, 11, 17, 55, 83 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^5*y + x^4*y + x^3*y + x^2*y + x*y + x + y^2 + y]
[[ 5, 5, 11, 17, 55, 83 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^6*y + x^5 + x^3*y + x^2 + y^2 + y]
[[ 5, 9, 11, 9, 45, 75 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + y]
[[ 5, 9, 11, 9, 45, 75 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^3*y + x^3 + x + y^2 + y]
[[ 5, 9, 11, 9, 45, 75 ],'<2, 1>',x^13 + x^12 + x^10 + x^8 + x^7 + x^6*y + x^2 + x*y + y^2 + y]
[[ 1, 5, 7, 33, 31, 83 ],'<2, 1>',x^14 + x^12 + x^11 + x^7 + x^6*y + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x*y + y^2 + y + 1]
[[ 3, 5, 9, 17, 53, 59 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x*y + y^2 + y]
[[ 3, 5, 9, 17, 53, 59 ],'<2, 1>',x^13 + x^10 + x^8 + x^6*y + x^3*y + y^2 + y]
[[ 3, 5, 9, 17, 33, 11 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x*y + y^2 + y]
