[[ 2, 4, 14, 20, 22, 64 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + 1]
[[ 2, 4, 8, 12, 22, 124 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + 1]
[[ 2, 4, 2, 20, 32, 64 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + 1]
[[ 2, 4, 8, 28, 52, 28 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^7 + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + 1]
[[ 4, 8, 10, 12, 34, 56 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x*y + x + y^2]
[[ 4, 8, 16, 20, 44, 44 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x*y + x + y^2]
[[ 4, 8, 10, 12, 44, 80 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + x^2 + x*y + x + y^2]
[[ 4, 8, 10, 12, 44, 80 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4 + x^3 + x^2*y + x*y + x + y^2]
[[ 4, 4, 10, 28, 24, 76 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x*y + x + y^2]
[[ 4, 8, 4, 20, 44, 92 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + x^2 + x*y + x + y^2]
[[ 4, 4, 10, 28, 14, 28 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + x*y + x + y^2]
[[ 4, 4, 10, 28, 44, 76 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^3*y + x^2*y + x^2 + x*y + x + y^2]
[[ 4, 4, 10, 28, 44, 76 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^3 + x^2*y + x^2 + x*y + x + y^2]
[[ 2, 4, 8, 12, 52, 52 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + x^2 + x*y + y^2 + 1]
[[ 2, 4, 8, 28, 22, 76 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x*y + y^2 + 1]
[[ 2, 4, 8, 28, 22, 76 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^5*y + x^5 + x^4 + x^2*y + x^2 + x*y + y^2 + 1]
[[ 4, 4, 4, 20, 34, 88 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^3*y + x^2*y + x^2 + x*y + x + y^2]
[[ 2, 4, 8, 12, 42, 28 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x*y + y^2 + 1]
[[ 4, 8, 10, 28, 24, 80 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^3*y + x^2*y + x^2 + x*y + x + y^2]
[[ 4, 4, 10, 12, 24, 28 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + x^2 + x*y + x + y^2]
[[ 2, 4, 2, 20, 12, 88 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5*y + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x*y + y^2 + 1]
[[ 4, 8, 16, 20, 24, 92 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x*y + x + y^2]
[[ 4, 4, 4, 20, 54, 64 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5*y + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x*y + x + y^2]
[[ 4, 4, 4, 20, 24, 64 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x*y + x + y^2]
[[ 4, 4, 4, 20, 24, 64 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^3 + x^2*y + x*y + x + y^2]
[[ 2, 8, 8, 12, 42, 80 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + 1]
[[ 2, 8, 14, 20, 42, 44 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x*y + y^2 + 1]
[[ 2, 8, 8, 28, 32, 80 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + 1]
[[ 2, 8, 2, 20, 22, 44 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + 1]
[[ 4, 4, 16, 20, 44, 64 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + x^2 + x*y + x + y^2]
[[ 2, 8, 8, 28, 22, 80 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x*y + y^2 + 1]
[[ 2, 8, 8, 28, 22, 80 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^5*y + x^5 + x^4 + x^3 + x^2*y + x*y + y^2 + 1]
[[ 4, 4, 10, 28, 34, 100 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6 + x^5*y + x^4*y + x^3*y + x^2*y + x^2 + x*y + x + y^2]
[[ 2, 4, 2, 20, 22, 64 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x*y + y^2 + 1]
[[ 2, 4, 14, 20, 32, 88 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^5*y + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x*y + y^2 + 1]
[[ 2, 8, 14, 20, 22, 92 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x*y + y^2 + 1]
[[ 4, 8, 13, 16, 24, 89 ],'<2, 1>',x^12 + x^10 + x^9 + x^7*y + x^6*y + x^5*y + x^3*y + y^2 + y]
[[ 2, 8, 11, 24, 32, 77 ],'<2, 1>',x^14 + x^10 + x^9 + x^7*y + x^6*y + x^5*y + x^3*y + y^2 + y]
[[ 2, 8, 11, 24, 32, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6 + x^4*y + x^3*y + x^3 + x^2 + x*y + y^2 + 1]
[[ 2, 8, 5, 16, 22, 89 ],'<2, 1>',x^14 + x^11 + x^7*y + x^7 + x^6*y + x^5*y + x^3*y + y^2 + y + 1]
[[ 2, 8, 11, 16, 42, 65 ],'<2, 1>',x^14 + x^11 + x^7*y + x^6*y + x^5*y + x^3*y + x^3 + y^2 + y]
[[ 2, 8, 11, 16, 42, 65 ],'<2, 1>',x^14 + x^13 + x^12 + x^7*y + x^6*y + x^5*y + x^3*y + y^2 + y + 1]
[[ 2, 8, 11, 24, 52, 77 ],'<2, 1>',x^14 + x^12 + x^9 + x^7*y + x^6*y + x^5*y + x^3*y + y^2 + y]
[[ 2, 8, 5, 32, 22, 53 ],'<2, 1>',x^14 + x^12 + x^11 + x^7*y + x^6*y + x^5*y + x^3*y + y^2 + y + 1]
[[ 2, 8, 5, 32, 22, 53 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^2*y + x^2 + x*y + y^2 + 1]
[[ 4, 8, 13, 16, 44, 89 ],'<2, 1>',x^13 + x^11 + x^7*y + x^6*y + x^6 + x^5*y + x^3*y + y^2 + y]
[[ 4, 8, 13, 24, 34, 29 ],'<2, 1>',x^12 + x^11 + x^9 + x^7*y + x^6*y + x^5*y + x^3*y + y^2 + y + 1]
[[ 2, 8, 5, 32, 42, 65 ],'<2, 1>',x^14 + x^10 + x^9 + x^7*y + x^6*y + x^5*y + x^3*y + y^2 + y + 1]
[[ 4, 8, 7, 8, 14, 41 ],'<2, 1>',x^13 + x^12 + x^7*y + x^6*y + x^5*y + x^3*y + x^3 + y^2 + y]
[[ 2, 8, 11, 32, 22, 89 ],'<2, 1>',x^14 + x^13 + x^10 + x^7*y + x^6*y + x^5*y + x^3*y + y^2 + y + 1]
[[ 2, 8, 5, 24, 12, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^7*y + x^6*y + x^5*y + x^3*y + y^2 + y]
