[[ 4, 6, 13, 14, 14, 75 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^7*y + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + y^2 + y]
[[ 6, 10, 9, 30, 46, 43 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^4*y + x^3*y + x^3 + x^2 + y^2 + y]
[[ 0, 6, 3, 22, 10, 63 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^3*y + x + y^2 + y + 1]
[[ 6, 6, 15, 30, 36, 63 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^5 + x^4*y + x^4 + x^3*y + x^3 + y^2 + y]
[[ 4, 6, 13, 22, 24, 75 ],'<2, 1>',x^13 + x^10 + x^8 + x^7*y + x^6*y + x^4*y + x^3*y + y^2 + y + 1]
[[ 2, 10, 11, 22, 32, 67 ],'<2, 1>',x^14 + x^12 + x^11 + x^7*y + x^6*y + x^4*y + x^3*y + y^2 + y]
[[ 2, 10, 11, 14, 22, 79 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^7*y + x^7 + x^6*y + x^6 + x^4*y + x^3*y + x^2 + x + y^2 + y]
[[ 4, 10, 7, 22, 24, 91 ],'<2, 1>',x^13 + x^12 + x^7*y + x^6*y + x^4*y + x^4 + x^3*y + y^2 + y]
[[ 2, 10, 5, 14, 22, 67 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^4*y + x^4 + x^3*y + x^2 + y^2 + y]
[[ 4, 6, 13, 14, 34, 75 ],'<2, 1>',x^12 + x^11 + x^9 + x^7*y + x^6*y + x^4*y + x^3*y + y^2 + y + 1]
[[ 2, 10, 5, 14, 52, 115 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7*y + x^7 + x^6*y + x^4*y + x^3*y + x^2 + x + y^2 + y]
[[ 4, 10, 13, 30, 24, 91 ],'<2, 1>',x^11 + x^9 + x^8 + x^7*y + x^6*y + x^4*y + x^3*y + y^2 + y]
[[ 2, 10, 5, 22, 22, 91 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6*y + x^6 + x^4*y + x^3*y + x^3 + x + y^2 + y + 1]
[[ 2, 10, 5, 22, 32, 55 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^7*y + x^6*y + x^6 + x^4*y + x^4 + x^3*y + x^3 + x^2 + y^2 + y + 1]
[[ 6, 6, 9, 22, 36, 63 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^4*y + x^4 + x^3*y + x + y^2 + y]
[[ 4, 6, 7, 22, 34, 51 ],'<2, 1>',x^13 + x^8 + x^7*y + x^6*y + x^4*y + x^4 + x^3*y + y^2 + y + 1]
[[ 2, 6, 11, 14, 32, 51 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^7*y + x^7 + x^6*y + x^6 + x^4*y + x^3*y + x^2 + x + y^2 + y + 1]
[[ 6, 6, 15, 30, 26, 87 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^5 + x^4*y + x^3*y + x^3 + x + y^2 + y]
[[ 2, 6, 5, 30, 32, 51 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7*y + x^6*y + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2 + y^2 + y + 1]
